목요일-연애혁명,목요일-롤랑롤랑,금요일-고래별,금요일-외모지상주의,수요일-고수,수요일-귀곡의문,월요일-뷰티풀군바리,월요일-유일무이로맨스,일요일-싸움독학,일요일-이번생도잘부탁해,토요일-어글리후드,토요일-호랑이형님,화요일-숲속의담,화요일-여신강림
"('미치게', 2)","('없었다는', 1)","('기대했는데', 1)","('안되나', 2)","('부럽지', 1)","('있을까', 1)","('빡친거', 2)","('좋아한', 1)","('없거든', 1)","('없었던', 1)","('필요없음', 1)","('어떤', 2)","('당하다가', 1)","('이쁘', 1)"
"('재밌게', 2)","('괜찮더니', 1)","('독하다는건', 1)","('그러니', 2)","('힘든', 1)","('뻔했는데', 1)","('있었음', 2)","('있는줄', 1)","('없었음', 1)","('싫다', 1)","('냉정해지고', 1)","('궁금합니다', 2)","('그리워하며', 1)","('장하게만', 1)"
"('있는게', 2)","('장하다', 1)","('불안하겠지만', 1)","('어떨까', 2)","('있게끔', 1)","('무서울', 1)","('정확한', 2)","('똑같아', 1)","('많음', 1)","('아니지', 1)","('강해졌네요', 1)","('아닌가', 2)","('수상하고', 1)","('잘생기게', 1)"
"('아닌데', 2)","('있으려나', 1)","('부럽다', 1)","('있으니까', 2)","('확실하게', 1)","('적응했구나', 1)","('없는거', 2)","('있었어', 1)","('어떨지', 1)","('있을거', 1)","('강해', 1)","('느리다고', 2)","('슬퍼', 1)","('원하시는', 1)"
"('괜찮아요', 2)","('조마조마했는데', 1)","('맑게', 1)","('당하고', 2)","('유일할듯', 1)","('성공한거', 1)","('무사히', 2)","('대단하네', 1)","('궁금함', 1)","('같아여', 1)","('잘생겼네요', 1)","('무서워', 2)","('사랑스럽고', 1)","('이쁜데', 1)"
"('없지만', 2)","('행복해', 1)","('아닌건', 1)","('인해', 2)","('인해', 1)","('불쌍함', 1)","('없죠', 2)","('좋아하는데', 1)","('애매한데', 1)","('아닐까', 1)","('강해지겠네요', 1)","('없습니다', 2)","('짠한', 1)","('예쁘고', 1)"
"('있도록', 2)","('불길하네', 1)","('없다는', 1)","('멋지다', 2)","('탁히기', 1)","('똑똑히', 1)","('저렇게는', 2)","('시기하지도', 1)","('비슷해', 1)","('미안해서', 1)","('미친거', 1)","('필요한', 2)","('무섭다', 1)","('좋은데', 1)"
"('어이없네', 2)","('없었을', 1)","('있겠어', 1)","('확실하게', 2)","('없다는거', 1)","('아픈거', 1)","('멍청한', 2)","('착하고', 1)","('없고', 1)","('좋겠다', 1)","('작게', 1)","('쎘던거야', 2)","('두근거린다', 1)","('없음', 1)"
"('불쌍한', 2)","('아닐것으로', 1)","('힘들다', 1)","('잘생기고', 2)","('유리한', 1)","('빡칠', 1)","('싫음', 2)","('좋아하나보다', 1)","('완전히', 1)","('확실히', 1)","('아닌듯', 1)","('강하다고', 2)","('귀여워요', 1)","('행복하면', 1)"
"('있네', 2)","('비열한', 1)","('안된다', 1)","('없을', 2)","('힘든데', 1)","('없네', 1)","('싫어', 2)","('행복해지는걸', 1)","('잘생겼다', 1)","('좋은', 1)","('이상했는데', 1)","('아니지만', 2)","('끔찍한', 1)","('안되는게', 1)"
"('좋아하는게', 2)","('같은건', 1)","('섭섭하지', 1)","('참신한', 2)","('회복한답시고', 1)","('아프다고', 1)","('안되는', 2)","('많어', 1)","('불쌍한', 1)","('기막히시네', 1)","('조졌는데', 1)","('비슷하게', 2)","('더함', 1)","('괜찮은', 1)"
"('그런듯', 2)","('그래두', 1)","('그렇다면', 1)","('좋겠습니다', 2)","('굴치면', 1)","('중요한게', 1)","('좋으면', 2)","('당당하고', 1)","('불쌍해', 1)","('대단한게', 1)","('당연하지', 1)","('왠만한', 2)","('착하셔서', 1)","('아니지', 1)"
"('싫은', 2)","('부패한', 1)","('같단', 1)","('같은데요', 2)","('새로', 1)","('짠해', 1)","('있든', 2)","('여린', 1)","('없는게', 1)","('있길래', 1)","('자유로워서', 1)","('아린이나', 2)","('있었구나', 1)","('그러는', 1)"
"('같아도', 2)","('편하게', 1)","('곧은', 1)","('똑같은', 2)","('다르다', 1)","('빡쳤잖아', 1)","('좋지', 2)","('없는데', 1)","('있는걸', 1)","('괜찮은데', 1)","('그런거냐고', 1)","('강한거', 2)","('행복하자', 1)","('몰두하지', 1)"
"('재밌어', 2)","('그럴', 1)","('잔인해서', 1)","('같아서', 2)","('쓰리', 1)","('강하다', 1)","('아니라는', 2)","('짠함', 1)","('싸한', 1)","('불편하셨다면', 1)","('안되는구나', 1)","('아파', 2)","('없어서', 1)","('어려운데', 1)"
"('있어서는', 2)","('부당하게', 1)","('아니길', 1)","('멋져', 2)","('반갑잖아', 1)","('유약해서', 1)","('착하다', 2)","('있었으면', 1)","('몰락하기', 1)","('죄송합니다', 1)","('무섭다', 1)","('아닙니다', 2)","('너무한거', 1)","('화려하게', 1)"
"('좋겠어요', 2)","('낮은', 1)","('서글프고', 1)","('약한게', 2)","('없었겠죠', 1)","('좋아하시는것', 1)","('착한거', 2)","('좋겠네요', 1)","('쉬운데', 1)","('없니', 1)","('중요했다는', 1)","('빠르와', 2)","('아니야', 1)","('다양하게', 1)"
"('잘생겼다', 2)","('아니라면', 1)","('애달프다', 1)","('좋아', 2)","('있는거', 1)","('싫대', 1)","('미안해', 2)","('좋고', 1)","('없는거잖아', 1)","('무서운게', 1)","('있었길래', 1)","('있을것', 2)","('심하네', 1)","('안되는것', 1)"
"('귀엽다', 2)","('아니지', 1)","('환장했냐는', 1)","('예쁘다', 2)","('안되지', 1)","('있어라', 1)","('잘생기고', 2)","('높아', 1)","('반할', 1)","('아닌가', 1)","('궁금함', 1)","('빠르랑', 2)","('있었', 1)","('아프게', 1)"
"('안좋음', 2)","('아닌가', 1)","('있을만큼', 1)","('조용히', 2)","('아니잖아', 1)","('불편해서', 1)","('야한다고', 2)","('괜찮으니', 1)","('좋아하는듯', 1)","('힘들어', 1)","('없었다고', 1)","('힘든', 2)","('참담했을까', 1)","('같은거', 1)"
"('궁금해서', 2)","('당당한지', 1)","('자유로운', 1)","('더럽습니다', 2)","('비슷하네', 1)","('공손하게', 1)","('아무렇지', 2)","('설레는', 1)","('하얀', 1)","('탁해', 1)","('쎈거', 1)","('아닐', 2)","('자세하게', 1)","('궁금해', 1)"
"('좋음', 2)","('없지', 1)","('안되는거잖아', 1)","('좋다', 2)","('예뻐하던', 1)","('불쌍하다', 1)","('안남아서', 1)","('스럽긴', 1)","('하얗', 1)","('건강하시구여', 1)","('불길해', 1)","('있겠지만', 2)","('있었는진', 1)","('미친', 1)"
"('죄송한', 2)","('무능력하지만', 1)","('그래도', 1)","('성실하게', 2)","('아니였습니다', 1)","('그만하라고', 1)","('빡쳐도', 1)","('불가능한건', 1)","('나쁜', 1)","('사뿐히', 1)","('현명한', 1)","('없음', 2)","('부러워하는거', 1)","('많으면', 1)"
"('같습니다', 2)","('여린', 1)","('많던', 1)","('많습니다', 2)","('아닐', 1)","('계신데', 1)","('없다싶었는데', 1)","('아니기', 1)","('없나요', 1)","('부탁드립니다', 1)","('있다고', 1)","('좋겠다', 2)","('기쁘다', 1)","('이쁘면', 1)"
"('빡친거', 2)","('같아서', 1)","('고귀하다란', 1)","('아니죠', 2)","('흔히', 1)","('무섭겠나요', 1)","('뛰어난것도', 1)","('그런게', 1)","('멋있게', 1)","('아닌가요', 1)","('좋을게', 1)","('인하여', 2)","('원하는대로', 1)","('없다고', 1)"
"('똑같', 2)","('좋네요', 1)","('침착하게', 1)","('당했던', 2)","('있겠죠', 1)","('미쳤다', 1)","('깊게', 1)","('검은', 1)","('미쳤', 1)","('연하였고', 1)","('그러고도', 1)","('있네요', 2)","('자랑스럽다가도', 1)","('있게', 1)"
"('이상한', 2)","('아님', 1)","('멋있어요', 1)","('당하는', 2)","('있겠다', 1)","('그런거잖아', 1)","('빡치지', 1)","('이쁘다', 1)","('멋있다', 1)","('차갑고', 1)","('멀쩡히', 1)","('인해', 2)","('안쓰럽습니다', 1)","('좋다', 1)"
"('빠라', 2)","('당당하니', 1)","('가까웠는데', 1)","('뿐입니다', 2)","('불쌍해', 1)","('대단하네', 1)","('상관없는', 1)","('헷갈리지', 1)","('유일하게', 1)","('같았다면', 1)","('비슷하다는걸', 1)","('없다고', 2)","('고통스러운', 1)","('싫어요', 1)"
"('아니지만', 2)","('아니니', 1)","('어떡해요', 1)","('없습니다', 2)","('멀쩡해', 1)","('아니죠', 1)","('완전히', 1)","('적합하지', 1)","('싫어하지만', 1)","('연하고', 1)","('망해라', 1)","('그러고', 2)","('좋겠지만', 1)","('그렇', 1)"
"('그러니', 2)","('어이없네', 1)","('명확해졌네요', 1)","('그렇지', 2)","('흥분해', 1)","('신기함', 1)","('상관없겠다는', 1)","('아깝지가', 1)","('좋아할거', 1)","('차가워', 1)","('불쌍하다고', 1)","('착한', 2)","('무서운데', 1)","('태평하게', 1)"
"('있다고', 2)","('따뜻한', 1)","('힘든', 1)","('아니야', 2)","('선해서', 1)","('사랑스러', 1)","('많네', 1)","('행복해', 1)","('힘들것', 1)","('특별한', 1)","('불쌍한', 1)","('엄청나게', 2)","('잔잔한데', 1)","('게으르구나', 1)"
"('당연히', 2)","('무능하니까', 1)","('많겠지', 1)","('잘생기면', 2)","('빠르게', 1)","('드러', 1)","('짧게', 1)","('이러해서', 1)","('이상해', 1)","('많은', 1)","('비슷한', 1)","('검은', 2)","('불안해', 1)","('다르면요', 1)"
"('당연한', 2)","('좋았다고', 1)","('슬퍼진다', 1)","('똑같네요', 2)","('느리다고', 1)","('피터지게', 1)","('그랬음', 1)","('안좋은데', 1)","('그렇다고요', 1)","('원한다는', 1)","('없죠', 1)","('귀여', 2)","('쉬운', 1)","('그런줄', 1)"
"('적당히', 2)","('당하지', 1)","('슬퍼지네요', 1)","('어떤', 2)","('없오요', 1)","('강해졌는지', 1)","('중요한', 1)","('싸하고', 1)","('대단하', 1)","('조심스러운', 1)","('없습니다', 1)","('쎈데', 1)","('같다는', 1)","('없잖아요', 1)"
"('있다는', 2)","('좋았던', 1)","('고우셨던', 1)","('같은건', 2)","('있을것이라고', 1)","('그렇겠다', 1)","('진지하게', 1)","('궁금함', 1)","('딱인데', 1)","('이뻐졌는데', 1)","('있으니', 1)","('강했던거야', 1)","('아니겠죠', 1)","('필요한', 1)"
"('자림이도', 2)","('그리워', 1)","('미어지셨겠어요', 1)","('좋아서', 2)","('새로운', 1)","('있나', 1)","('반갑다', 1)","('쎄한', 1)","('예쁨', 1)","('있었지용', 1)","('나쁠', 1)","('없는듯', 1)","('슬퍼해', 1)","('더한', 1)"
"('괜찮아', 2)","('있지만', 1)","('대단하다', 1)","('괜찮은', 2)","('징징대는', 1)","('비슷하게', 1)","('그랬죠', 1)","('가까우니', 1)","('의해', 1)",,"('대단하다', 1)","('차가운', 1)","('야하는게', 1)","('예뻐져서', 1)"
"('야하는', 2)","('당했던', 1)","('좋아하는데', 1)","('약하다는걸', 1)","('같은거나', 1)","('귀여워', 1)","('아니었겠다', 1)","('힘들고', 1)","('아닌가', 1)",,"('완벽하다', 1)","('강해서', 1)","('아프지만', 1)","('깊은', 1)"
"('친한', 2)","('같다는', 1)","('좋아서', 1)","('드러', 1)","('강한지', 1)","('같지만', 1)","('같기도', 1)","('비슷한데', 1)","('나쁜말', 1)",,"('씁쓸하게', 1)","('시급하다', 1)","('없어', 1)","('싫음', 1)"
"('소중한', 2)","('무능한', 1)","('있었는데', 1)","('강하다', 1)","('짧든', 1)","('미친우리', 1)","('반갑구요', 1)","('쎄하다', 1)","('명확한', 1)",,"('같네여', 1)","('대단한데', 1)","('조심스러워하고', 1)","('단단하게', 1)"
