싱글맘맘이야,여우자매,대학원 탈출일지,오사와 오폐수들,저승파견고용직,우리 카페 사장님이 이상하다,"괜찮아, 고3이야",우리집 강아지는 복슬강아지,지극히 평범한 생활,아빠는 N살,낮잠 자는 사람들,깜빡깜빡,루텔,구나의 그랬구나,아스테리스크,아오링도쿄,잔액이 부족합니다,운명...인가요?,발버둥치다,국제결혼개그만화,실험학교,오늘을 담다.,방구석수필,좀비 패밀리,(Old)악마법소녀,서툴고 어리숙해도 좋아하는,정령왕즈,쿤도덥브라더스,생각보다 잘 자랐습니다,몬스터 커맨더F,생존일지,시크릿가족,무엇이든 그려드립니닷!,카나와 초나의 독일,그래도 하루는,죽음과 동화,감각의 어빌러티,천상대전,AI폰 아리랑,채채쓰의 웃픈일기,방에 콕! 진댕,무존재감
담담히,밉니다,섬뜩하고,맛있단다,엄청나네요,좋죠,심심하면,있자나,더러워서,예쁘당,미다,좋아하는,배고프면,멋지게,많았는데,어떡해요,안되는거죠,없다는,좋아요,짧은,있다던가,쓰리곤,진정한,맛있다,엄청납니다,귀엽다,좋아요,귀엽다구,많은,없나요,싫어요,낮게,싫어요,설레서,어떤,미쳤어,강해지는거,부탁드립니다,좋아하는,행복해졌어요,안되,재미있습니다
좋겠네요,없네,필요해,아닌가,곤란해,안된다고,슬프네요,귀여운,슬프다,귀여워요,재밌는데,좋네요,두근거리는,중요한,야한다,안타깝네요,야하는,아니져,행복한,이뻐여,미어진다,좋아요,야한다고,섹시하다는,미친,있나,괜찮아요,없고,있었는데,궁금해서,없어요,당하기,있었습니다,많으십니다,행복해지시길,좋겠노,아님,아쉽다,아프지,고마워요,어떡하,불쌍해
쓰리가,심하세요,있게,맛있다,잘생겼당,같았다고,기대할게요,없는데,없어요,없어,이쁘신,아까,창백해,괜찮아,귀하다,진정한,이상해요,같은디,좋은,이쁜듯,아니요,궁금하네요,힘차게,무서워,안될까,좋아요,있었다는,귀여워,그렇게나,있었는데,작은,이런게,아름답더라구요,부러웠는데,조마조마한,어렵다는,부럽다,스럽네요,아프시지만,행복하세요,아니게,재밌어요
적적함이,충분히,잘난거,부럽군요,계신지를,그러셨어요,재밌나요,귀여워,좋겠어요,귀여워,귀여운,확실한,없는디,고맙다는,좋은데,무사하시길,길은,그러는,좋겠어요,재미있게,완벽해,좋겠어요,가벼운,아닌가요,미쳤다,있었던,기쁜,많습니다,환한,재밌었습니다,미쳤음,재밌게,싫다,있게,행복할,계셔서,뛰어나시네요,귀여워,있었으면,행복하네요,힘들어요,좋겠어요
좋은,있었으면,이상한,미친,가능한거죠,좋지,반가워요,무서워하는데,비싸구,귀여운,행복하길,좋아요,탁해,있으셨겠네요,간절히,슬퍼요,편하지만,좋아,예뻐서,귀엽고,뛰어나시다,꾸준히,좋아요,귀여워하다가,어떡해,재밌어요,무리하지,놀래,많은,뚜렷하고,행복하자,야한,싫은,좋더군요,있지만,같습니다,그런지,재밌는거,슬픈데,멋져요,아프지,재밌어요
많은,슬프지만,안되는,좋은,있으니,강한,기대할게요,무서울것,비싸고,귀엽당,다르게,귀여우셨던,아깝다,고마워요,부테,좋아요,길고,안되나요,편안해지는,예쁜데,건강하세요,있었는데,재밌네,아닌가요,좋아했던,재미있어요,가능한가요,놀래서,많은,성실하며,불쌍해,화하지,궁금해요,같은데서,평범하게,차가,새로운,귀엽네,자세하게,창피하다는지,아니죠,슬프다
좋아요,부럽군,귀여워요,아름다,멋진,수많은,같지만,사랑스럽네요,가능한,귀엽다,아니요,멋져요,아니잖아,엄연히,그러네,착한,비쌈,재밌어여,똑같네요,근엄해,죄송해요,편해졌었어요,미치겠다,사랑스러운,부탁드려요,재밌다는거지,있는데여,무서워,행복했던거,괜찮아,유일하게,담백하게,소중한,없을까요,힘든것을,미쳤,신선하고,괜찮습니다,죄송합니다,억울하다든지,좋아하시다니,식상한데
씩씩하고,예쁘다,얄밉게,대단하고,솔직히,같았는데,반가워요,없어요,없어서,그래요,좋은,대단하신거,심각한,아닌가요,이럴줄,있다면,귀엽,있지,싫어요,재밌다,괜찮아지신,좋은,좋은,행복해,좋아요,재밌는데,예쁘,싫어,끊임없이,망한,재미있는데,좋게,어떤,더라구요,궁금하네요,짧게,재밌었습니다,무리하지,작게는,소소하더라도,괜찮아,독특하고
강한,너무하네,재밌음,앙큼해,짠하당,단정한,있답니,좋아하는,없음,행복한거에요,행복해져,미치겠다,저래,없는지,좋겠지만,좋겠어요,안되는거지,좋아,같아서,신기하당,안되냐,있구먼,안녕하세요,잘생겼네,있게,의심스러운,귀엽고,아닌데,불안했고,많으셨군요,행복했을텐데,유익한,비슷하게,스러워도,슬픈,기대했는데,나쁜거지,그래놓고,좋을듯,뿌듯해하기,창피하다고,신선해
없는거냐,없으면,귀엽지,멋진,좋다야,귀찮았는데,다름,좋아요,같은건,힘들어요,궁금하지,바쁘다하는데,아니지요,야하지,있었다구,아픕니다,신기했죠,기대하게,속상하네요,빵터졌는데,이상한것만,있었는데,신기하지요,좋아요,미쳤다,검은,깜찍하고,속상하셨는지,같았어요,불안하게,어떡해,음란하지,힘나는,아닌지라,좋겠는데,어렵고,나쁘다,미워할,슬프다,스러워요,귀여워라,재밌어요
조용히,없어,분명히,하얀,귀찮다고,그랬죠,좋아요,귀엽지,비싼것,똑같은,설레신,예쁘다,안되는데,그러다,재밌게,아까워서,가능했던거,아니잖아요,뛰어난,귀엽네요,미쳤어요,편해졌었어요,똑같으시더라구요,귀엽네요,미친,재미있어요,사랑스럽고,아닙니다,조용해질,그렀게,미안하다고,유익한,부탁드립니다,가능한,반가웠던거죠,짧고,무섭다,좋고,아니지만,귀여워,귀여워,재밌다
신나는,아니야,이상한것,좋어요,없나,재밌게,귀여우신,많은,비싸겠는데요,귀여워,설레요,오래된거,아녔냐,시끄럽더군요,아닌데,따뜻한,있지,넓게,계셔서,아프지말고,좋아요,좋은,안된다라고,행복하게해,좋아서,같다는,있게,있었는데,같았어요,아님,그랬다는게,낮게,없고,많네요,차갑게,아쉬워,당연히,싫어요,없겠지,좋지,귀여워,식상한데
신난,귀여오,많아,알차고,그렇지만도,멋있어,끔찍하군요,작작해라,없어요,소소하게,성공하면,중요한,서운하고,좋을지,좋겠다,있지만,흔하고,좋은,있겠지만,건강해라,귀엽니,많아서,귀여워하시는,붜요,그랬어요,재밌어요,느려도,좋아했어요,슬플,실패했지만,슬프네,그러고,씩씩한,좋죠,그러지,이롭다,나쁜거지,얼큰하다,소중한,많은,그러고,독특하고
무거운,괜찮아,아리는,앙큼한,미쳐,충분하지,그런거,착하잖아,비싼것도,좋겠어요,비싼,아니다,그렇지,단순히,좋아,인해,귀여우셔,재밌네요,기쁠,예뻐요,한유하,쓰리곤,똑같았다,귀엽고,기대할게요,쎄하긴,꾸준히,안된다고,있다는걸,있을게요,재미있는데,없는것,계신,아파,좋았던,높은데,미쳤다,고마워요,슬프네,행복해,아니잖아,신선해
신나게,재미있을,귀엽다이거에,좋죠,아닙니까,싫어요,아닙니다,귀여운건,비싼데,기쁘고,속상해,예쁜,서운하고,같진,마라,있으니,귀여워요,괜찮다고,있겠죠,귀여워요,있었군요,좋아요,많은,정신차려,새로운,아닐,재밌어서,착한,슬픈것도,충분히,좋을거,좋은,그리워서,스러워도,아픈,좋겠어요,재미있는,좋은,뭉클했다는,행복해졌어요,아니었어,꾸준히
쓰리,아닌데에서,좋은,딱좋은,많았으면,싫어,여전히,많은,많아요,아름다운,안쓰럽고,예쁜,없다가,좋아요,행복한,속상할,많은,궁금해,있었는데,예뻐요,있군요,궁금하네요,있기가,야할,재밌고,있나,있답니다,그랬을까,있다는걸,기대하고,미친,좋은,죄송하다하며,아닌지라,궁금하네요,어렵네요,아닌가요,있었는데,슬퍼,미쳐요,없구나,있었던
행복한,슬퍼,재미있게,앙큼하구만,마라,짧게,재밌어요,귀여운,비싸긴한데,아니겠습니까,설레이는데,편한,분노할만,좋겠어요,있길,많았어요,좋겠는데,없는거야,거창한,잘생겼다,괜찮으세요,좋겠어요,없기가,이런건,깊게,있었던,좋으니,더라구요,이상한거,행복했습니다,아닐거야,저속합니다,있을까요,가능한,슬픈,짧다,있음,있었습니다,멍청한,부럽러,무서워요,나쁜
쓰리,있었지,재밌어요,재미있어,계신다,납작하시네요,당연히,귀엽,안되는,즐거워하는,없어서,흔한,심각한데,좋겠어요,그럴,잔잔히,재밌는데,아녀도,예뻤고,재밌어요,아프지말고,꾸준히,반하게,아니죠,재미있을지,좋아요,비슷하신,이쁘고,아니에요,예쁜거,그런거야,유익해,좋을지,많네요,좋겠는데,짧아요,있네,귀여운거아니냐,작게는,귀여워요,귀여워,아니었으면
멋지게,많이있음,재밌어여,앙큼스러워,아니든,생생하게,망해라,좋습니다,없고,사랑스러울,성공하시고,없어,중요한,따뜻한,좋은,많은,없습니다,좋습니다,예뻤단,이뻐요,건강하세,궁금해,귀찮은,아니다,좋아요,귀엽다,무리하지,좋아하지만,힘들어,아닙니까,재미있게,이런게,있을까요,좋죠,좋아요,미친,강하신,좋다,좋을듯,높은,행복하게하려는,좋겠는데
다르듯,좋겠다,같아서,유쾌해,좋아할것,다행히,좋다,귀여워서,없음,가득하자,계실듯,먼가,안되는데,있으니,있는건,고였어요,없어요,좋은,기쁠,이쁜아기,많아서,중요한,싫은듯,귀여워,미쳤다,아니야,괜찮아요,있다고,필요한,좋은,작가말에,아쉬우면서도,싫은,아파,아니지만,좋겠어,아닐까,재밌네요,슬퍼,강렬하게,아니잖아,재밌어요
많은지,없음,좋아요,있었는데,같습니까,망했,고마워,사랑스런,부담스럽,없는거,좋아하면,작아서,고마워요,안되고,안됩니다,무심했던,가볍게,없나요,아니라고,드문데,있어용,어떤,그러다,아니야,미친,예뻐요,있답니다,이뻐하는건,힘들,기대한게요,무리하지,있다는게,건강하게,같은데서,당했던,없나요,안됩니까,아님,뭉클했다는,귀여워요,아니었어,슬프다
불행할,있게,많은,유쾌한,좋아요,신나는,기뻐요,귀엽다구요,웬만하면,귀여워,아쉽지만,멋진,없다,없겠습니다,좋은,고맙습니다,무겁기,있다는,그렇다면,아련해,귀엽다,궁금히네요,고맙습니다,있을것,좋다,재밌는,무리하지,만족하면서,무의미해지는,없다는,괜찮으세요,같습니다,친한,없을까요,어떤,같아서,훌륭하실듯,찰지게,슬프다,재밌어요,없구나,재밌어요
편한,좋은데,무서운데,아니야,영원히,있을까요,좋아요,귀여워요,솔직히,귀엽자,아니네요,없었다는,고마워요,없구나를,있길,무사히,가까운데,솔직히,덤덤해진,사랑스러워요,없지,어떤,귀여우세요,성장한듯,새로,재밌게,건강하세요,그런건,평범한,많네,재밌어용,당하기,아무렇지,더라구요,행복해지시길,죄송합니다,같내,재미있어요,아니지만,높은게,괜찮아,좋겠어요
나약하지,힘들어도,어떤가,있는데요,착하잖아,궁금했어요,그렇죠,똑같군요,비쌈,좀있음,빨라요,깊게,좋아하고,높으니,미쳤다,아파요,상당히,좋긴,좋은,신기할,아프나,궁금히네요,자연스러운거죠,행복하게,곱니다,그러고,귀여웠고,아니지만,미칠까,특별한,재밌어요,어떤,있었습니다,부러웠는데,행복해지길,없다,죄송해요,재밌는데,없겠지,좋아요,그러고,재밌어요
강인할,재미있게,귀여워요,신날듯,짠하다,신기했음,없었더라면,재밌당,좋겠어요,끊임없는,귀여워요,많으실,사이좋게,다를,좋겠는데,진한,귀여워요,좋아,어떤,귀여워요,유연하구나,궁금해,건강하게,배불러,창백한,있네요,괜찮아요,있다고,야하는,귀엽네,싫어요,있다는,아름답더라구요,있게,조마조마한,너무하,귀여운거,귀엽네,소중한,미쳐요,귀여워,불쌍해
귀여운거,같습니다,오싹해,유쾌한,미친,재밌었는데,심했었을,많은,당하는,후회되는,궁금해요,잔잔하지만,이쁜,없어요,좋겠당,평범한,없었지만,좋은데,좋아요,귀엽,괜찮으,중요한,좋으세요,귀여워요,좋아해요,재밌어요,있으니까,젊은,아닐까,많아,하찮냐,있거나,슬프다,좋더군요,행복할,유명해져서,아닌가여,거대하고,슬프네,부럽러,창피하다고,재밌어요
아닌가요,미안하고,무례하다는,있을듯,엄청나잖아요,재밌었는데,미친,귀여워요,안되면,행복한,없음,좋아해요,심각한데,좋겠어요,좋은,소중하고,행복해,좋아,간단히,건강하시길,괜찮아지신,재밌게,재밌다,귀여운,있었습니다,재밌다,건강히,까칠합니다,피곤해도,아닐까,미친,이런건,싫어요,좋아하는,있지만,뿌듯하면서도,귀엽,강하고,슬픈,예쁜건데,귀여워라,재밌어요
힘든데,있었지,귀여워요,앙큼하시네요,이상하다,끔찍했지,좋으니,귀엽다,서러운데,아니죠,기대할게요,재밌네요,아닌데,옳다는,없다,특별한지,귀여워요,재미있게,안녕하세요,귀여워요,같아서,번했,재밌다,적절하게,야하죠,좋겠다,계셔요,아니예요,우울해도,자세히,비참해졌냐,한심하네요,부탁드려요,기뻐서,평범하게,힘들까봐,나쁜,설레서,없으며,아늑하고,귀여워,아님
숨막히죠,좋겠어요,재밌어요,재밌구,미안하지만,끔찍하죠,소소하게,귀엽당,슬퍼요,귀여운가,설레어하면서,좋네요,충분히,있다는,없어,선량하고,없다고,깊은,흔히,귀여워,필요없는,포근포근하네요,다르게,탁월한,까맣게,재미있어요,아프지,속상한,괜찮다고,많으셨고,안타깝게,유익하고,괜찮은데,많으십니다,힘든것을,재밌어요,나쁜,재밌네,소중한,따뜻해,좋아하시다니,무섭다
좋겠어요,위대한,같아서,소중해,뿐인것,신기했음,강하면,좋겠다,아니에요,귀여운,있는거죠,좋은,행복하네요,있으면서,좋은,즐거운,귀여운,짜릿했다,많은,귀여워요,없을것,고마워요,좋겠다,옹졸하니,있었는데,좋겠네요,기대하고있답니다,아니기에,활발하게,기대할게요,안타까워요,좋아요,괜찮은데,설레서,힘든,깔끔하니,싫어,무사히,자세하게,익숙한,귀엽고,무섭다
재밌어요,어떡해,무섭게,많아가지고,그러더라도,새로운,미쳐,귀여운,슬프네요,귀여워,설레네요,미치게,괜찮아,있겠구나,재미있,슬프네요,귀여운거,좋아했구나,신기한게,아닙니,무리하지,따뜻한,한결같음,귀엽다,새로운,같음,어엿한,충분히,그랬어요,있나,무리하지,유익한,서운해요,같을,있는것조차,좋네요,그러세요,죄송합니다,죄송합니다,힘든,귀엽고,아님
재밌어요,이럴수,진정한,용감함과,착함,멋지다,좋테있어,좋겠다,재밌군요,귀여워요,궁금합니다,아니예요,안되는데,저렇게만,던거,슬퍼요,아닌가요,귀엽,있다는,예쁘네요,재밌게,힘들,있어라,귀엽다,반갑습니다,좋았고,좋아해요,있을꺼라,괜찮을줄,미쳤다,아닐까,없는거죠,미친,연결해서,버거워서,편해질,좋아요,인해서,슬픈데,있네요,많은,무섭다
좋겠어요,좋겠네,당당하게,없지,아니죠,있었네요,어엿한,귀여운,좋은,괜찮아,조질,슬픈데,아니지요,있겠지만,마라,찡하다,귀여워요,재밌네요,아니었는데,예뻐요,아프신,포근포근함을,재밌어요,새롭네요,미친,가깝게,있으니까,드문,가까운,궁금하고,어떡해,야하게,다행히,비슷하신,자세한,간결한,재미있어요,건강하세요,없어,예뻐요,좋겠다는,재밌어요
좋은,없지만,안될,앙큼하신,아니죠,재밌어요,미쳤어요,괜찮아요,재밌잖아,그럴,이럴줄,슬퍼,신기하지,성숙하기,기대한다,힘드거였냐,많아요,부드러워졌네요,있었는데,이뿨요,있는거,입니,귀여운,재미있어,굳었다,당연히,있을게요,한적한,괜찮더라고요,재밌는데,좋아하는,유익하게,안녕하세요,그리워서,좋은,좋습니다,시급합니다,행복한데,있더라,예쁘,귀여워요,재밌어요
힘들고,귀여워,없네요,좋아할줄,아니죠,신나는,시급하답,귀엽네요,작음,똑같,없는데,허무할,아니잖아,그럴만,설레잖아요,야할것,없다구요,같았는데,아닌데,재밌어요,아니죠,귀엽다,좋겠네요,귀엽다,반갑습니다,가까히,무사히,변할수,그럴거예요,좋겠어요,많아요,재밌게,적응하는,높아요,아프지,재밌게,딱이겠다,무리하시는거,있으시다니까,예쁘,그런게,같기도
어려운,미쳤나,저래요,그렇다면,예쁨,있을까요,미다,있군요,있었음,이래가지,많았을까,힘들고,심각한,안타깝네요,너무한거다,아니에요,좋은,자연스러워진거,있을까요,뚜렷하네요,그러니,고마워요,비슷한,귀여워요,많으십니다,없었을것,있었다는,있답니다,같은것으로,신성한것도,안되요,유익한,궁금합니다,아니네요,좋겠어요,평안하시고,하얀,아닌가,서늘하고,부러워,아닐까,좋아요
유쾌하게,안좋은,귀엽네요,맛있단다,좋아하자,궁금했어요,미치는줄,귀여워,얇고,귀엽다,귀엽습니다,그럴,저래,그러셨듯이,이상한,많았,있더라,재미있게,덤덤하고,귀여워요,안남았는데,고마워요,아니네요,귀여워,좋은,없네요,아닌가요,답답하고,많아요,유치한데,유일하게,궁금했는데,넘치는,없나요,미어지네요,없다,아니죠,스러워서,묵직한,눈부시면,그런게,재밌어서
멋있어요,있지,아니냐구요,같았는데,안될,생생하게,없습니다,귀여워,펑퍼짐한,이렇구나,있다는,좋겠어요,아닌데요,어떨까,안된다,많았,비싸지,있었는데,조용하게,야무지게,있다면,귀엽다,없죠,귀여우신,기대하고,괜찮아여,길어,없는거,우울하다는,성공하냐,유일하게,아니었구나,변하더군요,많을까,있다면,좋겠네요,아니죠,좋아,싫은데,어떨까,아닐까,기대하며
싫어,이뿌다,진정한,없어요,슬픈,다행히,기대할게,아프면,이뻐요,이뻐졌는데,귀여워요,그리운,어떤,많은,아쉬웠는데,좋겠어요,아까,기쁘네요,그렇다면,귀여워,괜찮아요,입니,귀여운,귀엽다고,즐거웠었는데,괜찮아여,외로울,안된다며,행복하고,그럴,슬프고,유익해용,귀찮아서,재밌다,아프지,싫어함,엄청난,미묘하니까,있다는걸,쓸쓸하네요,재밌어요,재밌다
싫어요,이뻐요,재밌게,없었,멋있어,그러죠,안녕하세요,궁금해서,필요하면,귀여워용,없어,슬프네요,계시나요,자연스러운,아니더라도,친하게,많아요,성공해서,어떤,예뻐요,소중하고,따뜻한,영원했으면,좋겠어요,두근거려,반갑네요,성장한,없을,괜찮다면,있겠지,재밌는데,유익해요,짜증나,예쁜,아니셨음,완전히,같은게,좋은,쓰려구,예뻐요,귀여워요,재미있어요
재밌게,있겠네,그랬던,귀엽고,완벽하게하네,이렇게나,미안하다,없겠어요,변해,똑같,아쉽지만,수많은,어떠십,불편하지,좋아요,없지만,없다고,같아서,그렇구나,예쁘,중요하니깐,힘들,멋진,귀엽다,있나,좋겠어요,슬퍼,쎄다고,헷갈리지,그런건,슬퍼,고맙습니다,안좋은,많아요,좋겠네요,깔끔하고,있지,좋은,안될까,편하겠는데,많으면,기괴하네요
재밌어요,없고,하찮고,사랑스럽고,남다르군,반갑습니다,힘들고,귀여,작음,이래가지,설렘이,예쁘게,비슷하네요,좋은,아니라도,많아요,야함,불안해,있을테니까,새롭,안녕하세요,포근포근함을,잘생겨서,안되겟,가능할텐데,재밌어,있었네요,없는거,미치는,같음,슬프다,좋은,당하는,힘들긴,없어서,좋네요,재미있어서,괜찮으신,아니다,귀여워,귀엽고,있거나
고마워요,좋으니,귀여운데,맛있어요,순수한,얄미웠는데,피곤하다,아닙니,있었음,이뻐졌는데,좋아요,아쉽다,편하게,작을지,정신차려,아파요,없음,없다는건,힘든건,귀여워라,죄송합니다,번했,귀여워서,귀여워,아쉽기,재밌다,아닐지,좋아,있었는데,단단하게,재밌있습니다,있는줄,그러는,적응해서,미친거야,짧게,궁금해,좋지만,서늘하고,예뻐요,귀엽고,같음
재밌게,이쁘시면,어떡해요,재밌게,순수하게,망했,적당히,없어여,필요하면,귀여워용,흔히,그렇,있었구나,완전히,안되면,작은,많더라구요,없거나,없어서,예뻐요,느려지네요,포근포근하네요,다르게,귀여워요,미침,재밌어요,방심하기,안되지만,똑같은,궁금한데,재밌는,좋은,아닌데,생소하네요,이럴,가능하다면,미치겠어요,그러세요,묵직한,예쁘,많은,재밌는거
원해서,좋지,진정한,아니냐구,있다가,재밌어요,귀엽네,귀여워요,예뻐,괜찮아,그런지,예쁘다,없음,미치고,불안하다,있는게,좋은,없다는,힘든것만,귀여워요,미쳤나,다양한,귀여우셔요,작은,안남았다,좋고,쉬운,괜찮을지,괜찮습니다,아니이거,재밌어요,고맙습니다,아파요,맹맹한,없어,있으,좋당,좋은,싫은데,부러워,좋겠다는,공허해
아닌데,없잖아요,무서운,앙큼하게,확실히,재밌게,귀여,좋아하지,얇고,그럴,아쉬워오,쌩쌩하던,반가,익숙하지,재밌을것,있었으면,괜찮습니다,아닐까,싫다니까,똑같은데,안좋아지면,반가워여,있기가,귀여워,많은,좋고,좋다,있거든요,행복하다면,안됨,심하신,아니었구나,좋았을까,있군요,단순히,궁금합니다,짱짱하고,부탁드립니다,있으시다니까,눈부시면,귀여워,좋아요
