사는 게 이게 모양?!,빨간 고백,위닝샷!,집순이에 대하여,자작 보드게임 동아리,500원 토끼,솔의 일기,이래봬도2학년,대공녀는 거기에 없었다,범고래아가씨,"77년생, 열아홉",두남자일기,여기서 한잔할래?,좋아하는거 참으면 병나요!,딴 짓이 제일 재밌어,스토커의 하루,띵동! 도토리에요,마이데이,판타지 TV,만월에 핀 연꽃,전지적덕후시점,너와 나의 하늘색,너와 가까워지는 거리,어둠의 일상툰,하이스쿨 콤플렉스(마이동풍),함께 할 때까지,이세계 국밥 마스터,우당탕 입큰이,좀비랜드,내 매력에 퐁당,나타나주세요!,하루의 하늘,한 뼘 공포집,해피하우스,살인교사,템플러,직업 : 며느리,"뼈와 재, 불의 이야기",남편 먹는 여자,너와 나의 몰디브,체리 블러드,모두의 미아씨,158동 진상부부,공원여행,살인범과 산다,애포칼립스,미신반신,의대생 하루,하나리즈,식봉툰,국밥소녀
귀여운,미쳤냐,좋겠다,신기하네요,같습니다,좋아요,행복하자,귀엽네요,그러지마,재밌당,재밌어요,재밌는거,바람직합니다,힘듬,예뻐요,같다구,포근하네요,재미있다,없어요,많으세요,같은거,아닌거,설레,어떠,궁금하네요,아니야,없군,고마워,재밌어서,좋은,멋져,귀여우셔,성공하기를,엄청나요,싫어,힘들겠다,안되니,좋은,얌전히,있어여,좋은,있겠다,행복한,많으셨습니다,사악하게,예쁜,그지같은,궁금하게,귀엽고,가능할,맛있는데
재밌어요,아닌가,싫어,그렇고말고,검은,곧있으면,소소한,귀여워,행복해야,예쁘다,야해요,오래됬네요,귀찮고,좋아한,부지런하시네요,재밌게,귀여워,즐거운,불안했잖아요,악세서리,민망하죠,같지,좋아하시는줄,독특해요,궁금해요,아니야,갑작스러운,빵터졌어,좋겠지만,좋겠네요,장하다,삐뚤,성공하기를,좋고,재밌고,재미있어요,없고,재밌어서,재밌네요,재밌어서,있었으면,배부르게,좋아요,재밌게,완전히,그럴,솔직히,좋겠다,아닌가요,맛있다고,없었나
많죠,미친,많네,귀여워,인한,귀여워,가득할거야,귀여워,싫어서,재밌게,새로운,반가워요,그렇지,부러운거,부지런하시네요,궁금해요,실망할,재밌게,괜찮은데,좋은,당당히,재밌어요,미친,가능했으면,안될까,어렵다고,좋으라고,미쳤을텐데,있어여,무리하지,궁금했어요,똑같잖아,무서운,기대하면서,즐겁게,없어서,없고,유명해지면,드라마틱해서,있을게요,좋겠네요,어려운,좋아요,재밌어요,있었음,충분합니다,괜찮은,아녀,신기하네요,비싸,무섭다진
없나보다,번했네,기뻐요,귀여우세요,아닐까,있구나,즐겁고,귀여워라,아프면,더운,좋은,편하게,맛있어요,아쉽습니다,귀여워요,재밌게,좋겠어요,편안하다,아니다,이쁘다,대문짝만하게,행복하다,좋아,없어서,비슷하게,그렇기,재밌다,궁금해요,아닌데,심하고,있을게,조은,깊게,웬만한,있었는데,귀여워,재미있게,어떠,좋아오,많고,삐진다,살찔까봐,좋은,재밌어요,순수한,예쁜,나쁘지,무사해야해,좋아,아프고,미치것군요
있었,착한,미친,재미있어요,아닐까,많았어요,행복합니다,소중한,이뻐서,같았어요,있을거예요,궁금해요,맛있어,좋다고,괜찮아요,재밌네,재밌는,같기도,건강하시고,아닌가,예쁘게,빨개지는거,조아요,아쉽,힘들어요,있는게,좋은,재미있게,없네,심하신,좋아요,재밌는데,좋아합니다,재밌어요,기쁘네요,재밌는데,많아도,재미있어요,부족하다는,쿨하게,길게,상당히,힘들지만,재밌어요,없다,입을텐데,부족하다니요,궁금하다,재밌어요,아님,젊을
재미있게,그렇지,좀아하는데,재밌어요,검은,있었구나,없던데,귀여워라,아니지,아니에요,재밌어요,편하게,미치기에,미쳐,아프지,심오한것,재밌는데,같아서,죄송할,건전해,기뻤지만,좋겠는데,좋아할게,없어,재밌어서,아닐까,재밌는,있다는거지,미친거,힘드시겠어요,미친,좋아해요,그렇니깐,아님,아프셔서,재밌네요,어렵더라구요,안좋았는데,있었음,좋다,없어서,아프지,좋은,좋습니다,같긴한데,그럴,재미있어요,불안하게,귀엽고,좋으,이쁘셨네
죄송함당,좋아요,좋은,둥근,있었고,곧있으면,힘듬이,귀여워요,좋아,괜찮데,재밌어요,궁금해요,괜찮다,괜찮은데,좋겠어여,같구만,아쉽네요,좋으니,없는데,없어,커다란,행복하게해,아니다,이런거,재밌는데,있을까봐,없나,귀엽다,행복하게,있을게요,부탁드려요,귀여워졌네,있을만한,엄청나요,건강하게,멋있게,기대합니다,아닌데,계시는거라,새로,야한다,재밌어요,맛있는,궁금해지네요,사악하게,편한,아니고요,좋아요,귀여우셔요,어떠,맛있게
귀여우시네요,재미있어용,미쳤다,아픈데,아니었나,예쁘당,아닌가,비슷해지긴,좋긴,재밌다,좋겠네요,반가워요,맛있다,재밌더라,괜찮으세요,웬만한,재밌게,행복한,건강하게만,있었다구요,많은데서,이뻐요,좋은,던거에요,아쉬워요,그렇습니다,마라,귀엽고,좋겠다,있을께요,행복해요,이뻐,너무하신거,섬세하게,좋은,적당히,안되니,재미있는,없지만,신기하고,좋다,신난게,많아요,재밌어요,있음,예쁜,고마웠어요,귀여워요,있네,좋습니다,없지
아쉽게도,슬퍼하지마,유일하게,작게,그렇다면,불쌍해요,짧아도,귀여워요,시급해,부럽다,이쁘고,오래됬네요,건강하세요,있냐,몽글몽글한,재밌어요,착해요,답답해서,좋으니,바쁘셔서,같은거,친한,좋다,신기하다,잘생겼노,쌉싸름한,아닌데,깜찍하고,평범한,편히,좋아요,성공한다,아니에요,같아여,있길,재밌어야지,없고,빠른,충분한거,재밌는,좋겠다,아닐까,많으십니다,많으셨습니다,있다고,힘드,안녕히,원합니,좋아하는,있을까요,다른거
아니시네요,행복하자,조하요,예쁜,아닐까,재밌어요,충분히,귀여워,순수하고,귀여워,아름다운,재밌겠다,생소한데,아님,재미있어서,재밌어서,좋은,좋으,좋겠네요,아닐까,민망하죠,친한,같다고,좋군요,예뻐요,좋다,진지한,얄밉고,위험한,무리하셔야,미친,귀엽다는,재밌는,미쳤다,행복하,재밌네요,없고,재밌게,이쁘,빠르게,좋은,외로웠던거,좋아요,재밌게,확실하게,없고,이럴,있다면,좋고,재밌네,슬프지만
괜찮으신,좋아용,유일한,아플까,많다,힘들겠구나,설레고,귀엽다,좋아요,행복한거였나,안녕하세요,재밌는거,솔직히,없어요,예뻐요,훌륭하지만,훈훈한,행복한,성공하면,좋겠습니다,당당히,좋아하더라고요,설렜어,귀찮으니까,궁금하네요,미야,좋으라고,싸했던게,어떤,무리하지,가능합니다,좋아하나,좋겠어요,재밌어요,없다는데,재밌네용,재밌,재밌네,같아서,좋은,좋겠지만,착한,좋은,재밌게,충분하지도,바쁘시겠지만,없어요,없자나요,좋아요,멋있워,재밌어
고맙지만,얇으면,징징대서,무서워요,검은,더하면,행복하고,답답하겠네요,칠하고,심함,어떠신,귀여워요,얼큰한,안됬고,귀찮아지,아니네요,훈훈하네요,가득하시길,좋아요,고마워요,귀여워요,무서운,설레,있었던거,이쁜데요,안될거,갑작스러운,그러고내말,없어서,야한다고,안남았당,재밌잖아요,좋아해서,재밌당,있었으면,멋있게,괴로워진다는건,괜찮고,재밌게,예쁜,좋은,반갑,힘들지만,안녕하세요,유력해졌는데,소중하고,재미있는데,좋아요,좋아하는데,드러가니까,실패했다
슬픈,좋을것,좋지만,괜찮네요,없음,많아서,슬프고,자유롭게,귀여운,어떤,안되는,귀엽다,좋아해요,안남았고,좋지만,재밌게,나빠요,맛있는거,좋은,기대하께요,아니냐구요,아니지,귀엽거든,궁금하다,그렇구,어려워,없군,속상해,아닌지,무리하지,망했던,재밌어요,재밌는,있잖아요,좋겠네요,좋겠다,없나,재밌는데,재밌는데,아닌데,많으시면,그래요,좋은,재밌게,궁금해,중요하니,아쉽다,없어라,그런거,깔끔한,재밌어요
귀엽고,좋아요,안좋은,불가능하고,흔함,하얀,행복해서,좋겠어요,계시잖아,귀여워,재밌게,귀여워요,저렴하고,좋아할,재미있게,좋습니다,무리하는것,싫으면,있으시길,예쁘네요,있었으면,좋겠당,있네요,궁금한데,귀여워,그렇구나,뜨겁다,유명한,중요한,있잖아요,안되긴,미친,재밌었습니다,있었던,재밌게,배고프다고도,당연히,미쳤다,기대하게,안되는군,좋겠어요,피곤하네,어떠합니,재밌어요,재밌게,좋은,아니에요,없어라,귀여워요,그러면,있었던거야
좋아서,섭섭해,똑같은걸,가능한거여서,검은,귀여워요,좋다,좋아하네요,미안하다는게,좋아,기뻐요,재밌게,든든한,좋아하세요,아닌가,재밌당,순수하면,미쳤군,있을거,순진한,어마어마한,부럽다,재밌게,이상한,귀여워,없어서,뜨겁다,있길래,괜찮다고,나쁘면,미쳤어,확실히,재미있게,그러셨어요,좋은,아니지,전화해야하는,좋은데,먼가,부러운,삐진다,외로웠던거,좋습니다,재밌게,궁금해져서,똑같은,재밌는거,없길,귀여운,후회되잖어,불쌍해
아쉽게도,잘생겼다,있길,아프다가,있음,귀여워,행복하게,좋아하는게,아님,귀여워,재밌어요,재밌게,푸라면이당,힘든,대단하시네요,재밌네요,좋은,필요없고,건강하게,같기도,없습니다,반했구나,예쁜,많은,귀여워,미안했다,뜨겁다,이상한,유용하기도,무서운거에요,미쳤어,깔끔하고,있을게요,짠하네요,이상한,재밌네,재미있게,재미있는,좋음,아닙니까,재밌게,아닐까,든든히,재미있어요,재미있당,재미있게만,궁금하긴,없었다고,비슷한거,스럽단,귀하군요
아니시네요,아님,행복합니다,아프더니,만지작거린다면,귀여워,망할,더웠다가,예뻐,좋다,기대하구이,속상하네요,맛있어,있었어,없어요,미칠만,이렇게나,좋아,기대하고있겠습니다,재밌어요,포근해서,아니예요,좋아해,빠르군요,같음,어렵다고,맛있다,미친듯이,같지,재밌게,기대하겠습니다,예뻐지셔서,좋은,짠한,충분하니까,멋지다,어이없네요,빠른,재밌어요,풋풋한,좋은,착한,있긴,기대하겠습니다,없을거,조용하면,아닌가,시급해,같아여,있었는데,재밌군요
빠른,아니지만은,스럽네요,당연히,검은,있구나,재밌어요,추웠다가,재밌어요,예쁘네요,기뻐요,귀여워요,이뿌게,힘든,힘드네요,있었네,건전해서,예쁘고,있다가,없을텐데,좋음,재미있는,좋아해,노랠까,귀여워,그렇기,식상했는데,있더라고요,재밌네,무리하지,빠른,예쁜,기대할게요,소소한,같앗어요,재미있는데,진지할,재밌어요,있을게요,없는데,있었으면,반갑,살빼는게,재미있게,궁금해,무서워서,재밌게,불안한데,없는거지만,싫다,설렜는데
유일하게,얇으면,기대할게요,아프고요,깔끔하게,좋아요,좋겠어요,좋겠네요,이상한,부탁드림니다,없더라,가능하지,맛있게,확고해서,길게,미쳤다,안쓰럽다,잘생기면,어떡하라고,대단하세요,창피하다,죄송해요,좋아해,궁금하당,귀엽당,있는게,참신했다,힘들지도,재밌어,있는거지,계셨네요,성공할거야,있겠,좋아요,탄탄해지고,성장해서,재미있게,비슷하,재밌어요,많구,좋겠네요,그래요,힘들어,좋을,재미있당,좋았을,있었는데,예쁜,좋아하니,야할,재밌당
없어서,좋을것,미친,그러고,많은,있었다니,아니라고,속상해,귀엽다,많았어,편하네요,속상하네요,맛있겠다,많던데,꾸준히,없는데,뻔했다,재미있는,있었는데,좋겠다,기뻐는,반한거야,좋아해,외로운,이뻐지는,아닐까,미쳤네,어떤,재밌어,그러실수,기대하겠습니다,귀엽당,없던,없을줄,있거든요,재미있는데,계신것,아닌데,궁금해요,설레는,좋아하는,고맙긴,틈틈히,예쁜데,재밌게,같음,좋아서,없게,귀엽습니다,그러니깐,재밌군요
무안하고,좋아요,이래라,어느덧,있구나,곧있으면,좋겠다,똑같겠네요,정신차려,예뻐,계실,없어도,있지만,없어요,귀여워용,같은건,스럽다는,많아서,망했구나,힘드실텐데,좋다,귀엽고,좋아해,궁금해,미쳐,있을까봐,재미있는,없어,재밌어,있죠,행복해,그리웠어요,없었던걸,같은걸,야한다,성장해서,같아서,미쳤네,이쁘고,좋다,좋긴,신난게,좋다고,재미있어요,궁금해져서,그럴것,슬픈데,저래놓고,좋으면,좋아요,많다고
속상해,좋아용,저래라,아팠어요,정확히,귀여워요,짧으면,귀여우면서도,같은것,귀여워,아닌데,안되는,맛있는데,심각한,좋으십니다,필요없은,성장하지,간략하게,이런게,재밌어요,힘든,이쁘고,좋아해,궁금해,있구나,그렇습니다,좋당,고맙습니다,재밌어,중요한,없는데,예쁘,같긴한데,있을거,재밌는데,재밌네,멋져,재미있게,좋네요,반가워,슬프다,아닐까,묵직해도,재밌게,유력해졌는데,아니라면,있겠죠,아니겠지,좋아,솔직히,이상하게
고운,두꺼워요,좋겠다,조아여,사랑스러워서,귀여워,어떱니까,아프네요,죄송해요,그렇다구요,부탁드려용,있었는데,배고파,없어요,귀엽,솔직히,아무런,단순하게,아니였어,힘드시겠어요,예쁜데,멋지고,좋아해,궁금해,미쳤다,아니야,힘드네,재밌는,재밌어,원하는,미쳤다,이쁘다,재밌어요,안타깝네요,아닐,배고프다고도,없음,좋아요,먼가,쿨함,조아서,따뜻해,아닙니다,기대하겠습니다,없음,있기,없나요,좋아하시는거,귀여우셔요,현명한,재밌어요
인해,안되는데,우승한다면,무서워서,그랬다,좋아요,괜찮습니다,좋아할까,아프지,재미있었습니다,시급합니다,똑같네,맛있어,아쉽습니다,중요한건,재밌어요,충분하지,있는게,그랬듯이,무리하지,고마워요,좋네요,좋아해,잔인해,자세하게,아니야,재밌어요,무서운,고맙소,있길,좋아요,고마워,없는거,재밌네,좋겠는데,아니지,있을까요,재밌게,무서운거,예뻐요,완벽하고,불편할까봐,장난없군요,재미있게,아파서,불편했음,안된다,아닐까,귀여워요,있었는데,미치것
있는거겠죠,빵터짐,기쁜,많다,자세히,재밌게,행복해지면,반갑군요,좋아하는,재밌게,예쁘고,힘든,맛있어,이랬지,없다,있을게,순수해서,아니라서,쎄네,안됩니당,좋죠,좋네요,좋아해,외로운,투명한데,싫테다,괜찮을,있나,싫어,건강하세요,미쳤다,그러는걸,아닐까,재밌어,좋은,좋겠다,역지,재미있어요,무서운,좋아하는거나,계신,예쁘지만,그래도,재미있어요,악해,옳고,위험한데,조용한,좋아해요,그러면,미쳤
없지요,슬퍼하지마,없음,무서워서,당하는,귀여워요,좋겠다,속상할,당하고,착한,좋은데,힘드네요,없어서,힘듬,슬프,아니야,나쁜,좋음,쉬워,예뻐요,거뜬히,설레고,좋아해,많은,이상해요,편안히,같음,무서운,있네,재밌게,있었는데,기대하고,재밌어요,재밌게,재밌는데,아니야,새로운,미쳤다,미쳤다,귀엽네요,없어요,외로웠나,많은,재미있게,아님,같아서,멋있어,간절한거,귀여워요,후회되잖어,안되는거
아니겠져,행복하자,건강하시고,아픈가요,많다,뿌듯합니다,좋겠단,속상해,순진해서,재미있게,좋겠네요,지독한,슬픕니다,좋아한,없어서,재밌어요,재밌어서,좋다고,건강하시길,있었어,좋아하는,귀엽고,잘생겼어,빠르군요,투명해,같아서,힘드네,징징거리는데,재미있는건,재미있으니깐,기쁘시다는,건강하시길,섬뜩합니다,재밌다,좋겠어요,멋지다,미치거,재밌어지네,그러,많나요,높겠네요,좋은데,그렇치요,좋을,순수한,재밌게,아니겠지,어떡해요,귀엽지만,스럽단,아닙니까
예쁜,있었다니,좋은,아프면,검은,귀엽네요,있었으면,똑같겠네요,좋아하는,없지,변하나,고픈,좋아해요,부러운거,꾸준히,없다,재밌게,좋음,쉬웠겠다,있었구나,힘들어요,행복하다,같어,궁금한데,아니아니,좋은,아녀,재밌는,당연히,없습니다,재밌겠다,좋겠나,재밌어요,당할듯,미친,재밌다,알차게,없어,숨막히게,좋다,뿐이군요,싫어,그렇군,재밌게,사악하게,장하시는,아닌가,좋겠,좋아해주세오,아팠다,미치겠
예쁘게,재밌어,좋은,아프면,괜찮은데,귀여운,좋겠어요,답답하겠네요,불쌍한,없어,아님,순수하고,곤란한이,먼나라,귀여워용,죄송한데,좋겠어요,기대하겠,귀엽,아닐꺼,비싸요,좋네요,두근거리면서도,이상한,같은걸,좋아요,좋당,무서운,아니네,아님,이럴,아니요,저래,불쌍하다,작인데에,좋을,어떤,대단하다,재밌네요,귀여워,안되는,이럴듯,좋으니,재미있고,완전히,확실해서,재밌어요,좀신,같은건,멋지네,좋군요
착하셔,행복해,안되나,다른데,같으면,작아서,짧아요,자유롭게,없어서,예쁘네요,변할,귀여워요,좋겠네요,원하는,길게,미칠만,없는게,좋았음,우승해서,같음,없었으나,귀엽구만,슬프고,노랠까,자세히,귀여운,재미있는,있나,궁금해서,완벽하네요,행복해여,아니요,현명하잖아,성공하고,싫테는,적당히,원하신,있었다구,야해요,달콤해서,좋은,좋겠다,무서워서,좋겠네요,있었음,가능하시겠다,재밌어요,아닐까,귀여우세요,드러가니까,건강하세요
성장하길,빨간,재미있는,아프다는,굉장히,멋져요,행복하자,좋겠어요,예쁜,있어서요,변하는,지독한,좋은데,없어서,힘드네요,있었네,스럽다는,착한,저리가요,있다고,완벽히,미안하지만,이쁘니깐,궁금하당,투명하지,좋아요,재미없어지네,어떤,미치겠다,없네요,당하셨나,재밌어,재밌어,행복해졌으면,탄탄하고,재밌어야지,아닌지,재미있,아님,부드럽게,많은데,좋겠음,좋네요,재미있게,순수한,흔히,가능하나,좋겠다,어렵죠,깔끔한,재미있네요
훌륭하지만,재미있어용,좋네요,아팠다는,유리해진,멋져요,소소한,더웠다가,무리하면서,재밌는거,아니라고,고픈,좋겠군요,없고,대단하시네요,미쳤다,성장하지,안된다고,불안함,자리는,맛있다고,성공한다,설레는,궁금해,완벽하다,좋아하는,미쳤네,없어,나쁜데,즐겁게,없음,유치한,없으니까,재밌게,예쁜,재밌네요,아니구요,미쳤는데요,있네요,재밌어용,좋은,쉬운,설렌다,귀여워요,없다,같다는,없어요,아니지,좋아하고,괜찮아요,어떠십니까
멋지게,좋아요,재미있,작은,자상했다,귀여워,가득할거야,추웠다가,그러다,아니겠어,좋을,힘든,맛있겠다,있는지도,없어요,뛰어나시네요,아무런,안되죠,무리하지,싫어지는,이쁘다고,아님,다정함에,궁금하다,같냐,있어여,든든하군요,고맙습니다,나뻐,아님,있을게요,고마워,다르게,재밌어요,탄탄한데,멋있게,아니겠죠,궁금해지고,신선하고,괜찮다고,있었으면,아니겠지만,좋다,재밌어요,같긴한데,성공하고,재밌는데,아름답게,좋아합니다,소중하지,미친
성장하시길,행복해지자,좋네요,야할,강력하게,정신차리자,행복했으면,좋겠네요,안녕하세요,재미있게,있음,힘드네요,맛있어,많고,이뻐서,미쳤다,충분하지,성장해서,성공해,낮아서,좋은,좋아하나,행복해질,귀엽다,조은,귀엽당,안타깝네,안타깝게도,아닌가여,재미있당,있는게,귀엽당,재밌어요,기대하고,같지만,재밌네용,충분히,미쳤다,재밌어요,좋음,좋겠어요,좋겠다,행복하세요,이뻐요,사악하게,높은,아닐수도,아름답게,몽글하고,재밌게,그럴
고맙습니다,안될,기대하고,재밌어요,기대했지만,귀여운,좋겠다,좋아하네요,없다가,비슷한거,아닌가,똑같네,귀찮아서,없는데,이쁘게,미쳤는데,순수해서,그러셨어요,솔직히,아니지,기이한,좋아하는거,좋아하시는줄,귀여워,같은걸,같아서,맛있으시단,없더라고요,하찮습니다,재밌게,아니였어,그리웠어요,없는거,있을게요,좋았는데,나쁜,멋지다,재밌어,좋겠어요,미칠것,좋은,좋겠음,착하면,예뻐요,있음,많은,있지만,귀엽네,몽실한,그렇잖아,아니었지만
없지,미쳤어었,좋겠네요,재밌고,달랐고,작아서,서운하다,좋아하는게,행복할것,재밌는거,좋은,안되는,없다,원하는건,아닌가,재밌다,그런지,좋겠네요,해로운,당연히,기이한,재밌어요,미친,귀여,자세히,귀여워요,속상하네,재미있는,좋소,재미있으니깐,좋아,이쁘다,아닐까,부족하다고,좋은,아닌데,저렇게라도,재밌습니다,재밌어,같은지,있을거에요,쉬운,어떨까,새로운,있다고,좋은,같음,아닐까,같아여,아니지,새로운
작은,그러운,재밌으시다는,비슷해서,아닐까,없었는데,미안하단,좋아하는,무리하시지,아니겠어,아닌지,있었는데,바람직합니다,비쌌을텐데,비슷하네요,있네요,안쓰럽다,재밌는데,한심해,있다라,미안해,없어요,좋아,귀여워,보야주셔야죠,애매한,아닌가,미친듯이,고맙소,없습니다,계시냐고,예쁘,재밌어요,많죠,기뻐요,있겠죠,대단하다,있네요,엄청나고,아닌지,좋은,아니겠지만,미쳤고,궁금해요,확실하게,비슷한,없어요,다르게,귀여워요,잡다한,새로운
높은,안될,있다는,시원했어요,아닐까,없냐,아닌가,똑같네요,좋아하게,싫어요,궁금해서,없어도,없을,아닐까,궁금해요,아님,나쁜,좋겠네요,좋겠어요,아니길,안되겠어,싫은,설레,있죠,아니아니,좋은,있었어,있더라고요,재미있는건,귀엽지,계신거,성공할거야,필요해요,잘났다고,좋은,멍청한,없어요,안좋았는데,재밌다,행복한,있던건,예쁘지만,따끈한,재미있어서,충분하지도,달콤한,재밌는데,재미있네요,귀여우세요,잡다한,재밌게
