싱글맘맘이야,여우자매,대학원 탈출일지,오사와 오폐수들,저승파견고용직,우리 카페 사장님이 이상하다,"괜찮아, 고3이야",우리집 강아지는 복슬강아지,지극히 평범한 생활,아빠는 N살,낮잠 자는 사람들,깜빡깜빡,루텔,구나의 그랬구나,아스테리스크,아오링도쿄,잔액이 부족합니다,운명...인가요?,발버둥치다,국제결혼개그만화,실험학교,오늘을 담다.,방구석수필,좀비 패밀리,(Old)악마법소녀,서툴고 어리숙해도 좋아하는,정령왕즈,쿤도덥브라더스,생각보다 잘 자랐습니다,몬스터 커맨더F,생존일지,시크릿가족,무엇이든 그려드립니닷!,카나와 초나의 독일,그래도 하루는,죽음과 동화,감각의 어빌러티,천상대전,AI폰 아리랑,채채쓰의 웃픈일기,방에 콕! 진댕,무존재감
"('힘든', 5)","('안되면', 14)","('좋아하는', 5)","('괜찮은', 4)","('짠해서', 4)","('같았는데', 2)","('즐거운', 12)","('귀엽당', 3)","('비싸긴한데', 2)","('괜찮아', 2)","('귀엽습니다', 5)","('있네요', 8)","('안녕하세요', 8)","('아닐까', 6)","('귀엽', 5)","('따뜻한', 5)","('힘들어요', 4)","('재미있어요', 6)","('힘든', 15)","('재미있게', 4)","('아님', 7)","('아쉽지만', 15)","('있다는', 6)","('좋아하는데', 4)","('좋고', 15)","('좋겠다', 4)","('귀여운', 7)","('무서워', 4)","('있다는', 7)","('괜찮아', 4)","('아닐까', 3)","('재밌게', 7)","('행복하게', 6)","('많네요', 5)","('아프지', 8)","('재밌어요', 6)","('있음', 2)","('좋아', 6)","('좋아하는', 2)","('예뻐요', 4)","('안되', 2)","('재밌습니다', 2)"
"('대단해요', 5)","('귀엽다', 13)","('진정한', 4)","('좋겠다', 4)","('미쳐', 4)","('단정한', 2)","('많으셨습니다', 12)","('귀여워용', 3)","('안되는', 2)","('그럴', 2)","('아닐까', 5)","('작은', 8)","('어떤', 7)","('멋있어요', 5)","('있길', 4)","('소소한', 5)","('부잔', 4)","('어떡해', 6)","('계신가요', 15)","('좋겠다', 4)","('행복하자', 7)","('궁금합니다', 13)","('고마운', 6)","('아니야', 3)","('많은', 14)","('좋겠네요', 4)","('같습니다', 7)","('착한', 4)","('없고', 6)","('재밌었습니다', 4)","('무리하지', 3)","('좋겠다', 7)","('부탁드립니다', 5)","('이상하게', 5)","('아플', 8)","('좋아요', 6)","('같내', 2)","('미친', 6)","('아프지', 2)","('예쁘', 4)","('좋아하시다니', 2)","('있겠', 2)"
"('아님', 4)","('싫어요', 13)","('이상한', 4)","('앙큼해', 3)","('아니죠', 4)","('그랬죠', 2)","('재미있게', 11)","('없습니다', 3)","('더러워서', 2)","('똑같', 2)","('소소하고', 5)","('없는데', 8)","('재밌게', 7)","('있다면', 5)","('좋아요', 4)","('미친', 5)","('죄송합니다', 4)","('재밌', 6)","('고마워요', 14)","('아쉽지만', 4)","('착한아이가', 7)","('좋아하는', 12)","('같습니다', 6)","('아니다', 3)","('좋네요', 14)","('괜찮아여', 4)","('있었는데', 6)","('있다고', 4)","('착하고', 6)","('귀엽네', 4)","('없어요', 3)","('솔직히', 7)","('좋아서', 5)","('없지만', 5)","('같음', 8)","('좋겠어', 5)","('훌륭하실듯', 2)","('유일하게', 6)","('아프시지만', 2)","('귀엽네요', 4)","('괜찮아', 2)","('재밌어', 2)"
"('같았으면', 4)","('이상한', 13)","('많은', 4)","('귀엽고', 3)","('대단해요', 4)","('안된다고', 2)","('즐겁게', 10)","('좋아', 3)","('없어요', 2)","('이래가지', 2)","('좋겠어요', 5)","('편하게', 8)","('솔직히', 7)","('궁금해', 5)","('이쁘다', 4)","('궁금해', 5)","('그럴', 4)","('있으니', 6)","('궁금해요', 13)","('없네요', 4)","('솔직히', 6)","('예쁜', 10)","('멋지다', 6)","('사랑스러운', 3)","('새로운', 13)","('새로운', 4)","('귀여워요', 6)","('이뻐요', 4)","('편히', 6)","('기대할게요', 4)","('재미있게', 3)","('어떤', 6)","('없어서', 5)","('좋네요', 5)","('좋겠어요', 7)","('짧다', 5)","('나쁜거지', 2)","('있네요', 6)","('좋죠', 2)","('귀엽다', 4)","('창피하다고', 2)","('불쌍해', 2)"
"('멋진', 4)","('많은데', 12)","('좋다', 4)","('재밌게', 3)","('좋아하는데', 4)","('같았다고', 2)","('아님', 9)","('귀여운건', 2)","('없음', 2)","('이렇구나', 2)","('궁금합니다', 4)","('좋겠어요', 7)","('있었는데', 7)","('궁금해요', 5)","('이상한', 3)","('무사하시길', 4)","('없어요', 3)","('아닐까', 5)","('행복한', 12)","('좋겠어요', 4)","('재밌어요', 6)","('좋았어요', 9)","('멋있는', 6)","('잘생겼네요', 3)","('미쳤다', 13)","('아니에요', 4)","('있으니까', 5)","('귀엽네요', 4)","('그러게요', 6)","('미쳤다', 4)","('아닌가', 3)","('좋겠네요', 6)","('예쁜', 5)","('즐거운', 5)","('좋아요', 7)","('미쳤어', 5)","('아닐까', 2)","('같습니다', 6)","('슬픈데', 2)","('좋겠어요', 4)","('귀여워라', 2)","('슬프다', 2)"
"('아니에요', 4)","('좋겠어요', 11)","('있었는데', 4)","('귀여운', 3)","('나쁜', 4)","('그러셨어요', 2)","('좋겠어요', 9)","('착하잖아', 2)","('많아요', 2)","('이뻐졌는데', 2)","('없음', 4)","('무서워서', 7)","('아님', 7)","('재미있게', 5)","('편하게', 3)","('아파요', 4)","('야함', 3)","('있는게', 5)","('아니에요', 10)","('유창해', 4)","('희나', 6)","('소소한', 9)","('시급합니다', 5)","('귀여워서', 3)","('좋다', 13)","('있는거', 3)","('아닌가요', 5)","('예뻐요', 4)","('괜찮다고', 5)","('같음', 4)","('좋다', 3)","('비슷한', 6)","('있을지', 5)","('궁금해요', 5)","('없어서', 7)","('없다', 5)","('싫어', 2)","('재밌다', 5)","('자세하게', 2)","('무책임하고', 4)","('아니잖아', 2)","('식상한데', 2)"
"('좋네요', 3)","('없다', 11)","('싫어요', 4)","('있다구요', 3)","('좋겠다', 4)","('좋지', 2)","('없으신', 9)","('귀엽지', 2)","('좋은', 2)","('귀여워용', 2)","('있다는', 4)","('없어', 6)","('같아서', 7)","('있게', 4)","('귀여워요', 3)","('많은', 4)","('귀찮아서', 3)","('부탁드려요', 5)","('그럴', 10)","('재밌어', 4)","('아닐까', 6)","('따뜻하고', 9)","('없습니다', 5)","('궁금하다', 3)","('멋진', 13)","('재밌는', 3)","('즐겁게', 5)","('예쁜', 4)","('평범한', 5)","('어떤', 4)","('좋았는데', 3)","('반가워요', 6)","('힘든', 5)","('멋져요', 5)","('아픈건', 7)","('맛있는거', 5)","('그러세요', 2)","('좋겠다', 5)","('작게는', 2)","('행복해졌어요', 3)","('아니었어', 2)","('독특하고', 2)"
"('반가워요', 3)","('어떤', 10)","('비슷하시네요', 4)","('신나게', 3)","('재밌음', 4)","('강한', 2)","('재밌는', 8)","('없어요', 2)","('재밌잖아', 2)","('귀엽고', 2)","('없어', 4)","('슬프네요', 6)","('좋다', 7)","('궁금하다요', 4)","('멋진', 3)","('부러워요', 4)","('많았어요', 3)","('안녕하세요', 5)","('솔직히', 10)","('좋아하는', 4)","('아닌가', 6)","('맛있게', 9)","('부럽습니다', 5)","('사랑스러워', 3)","('좋겠다', 12)","('예뻐요', 3)","('좋아', 5)","('귀엽', 4)","('힘든', 5)","('없다', 4)","('좋은', 3)","('있네', 6)","('한심한', 5)","('신기하네요', 5)","('아파서', 7)","('예뻐요', 5)","('시급합니다', 2)","('좋다', 5)","('좋을듯', 2)","('힘든', 3)","('없구나', 2)","('신선해', 2)"
"('그래요', 3)","('설레', 10)","('아닌가', 3)","('좋아', 3)","('좋은', 4)","('싫어요', 2)","('많은', 8)","('좋아요', 2)","('작음', 2)","('없겠다', 2)","('그런지', 4)","('있었는데', 6)","('건강하세요', 6)","('따뜻해요', 4)","('있었군요', 3)","('따뜻해지는', 4)","('있더라구요', 3)","('있지', 4)","('없어서', 9)","('귀엽고', 3)","('싫어요', 6)","('따스한', 8)","('충분히', 5)","('있을것', 2)","('진지하게', 11)","('같음', 3)","('여전히', 5)","('적당한', 3)","('비슷한', 5)","('있지', 4)","('확실히', 3)","('있거나', 5)","('있었는데', 5)","('그럴', 5)","('아프네요', 7)","('당연히', 5)","('딱이겠다', 2)","('아님', 5)","('슬프다', 2)","('있네요', 3)","('많은', 2)","('나쁜', 2)"
"('담담히', 3)","('재밌게', 10)","('있네요', 3)","('안되', 3)","('슬프다', 4)","('생생하게', 2)","('있을까요', 8)","('좋습니다', 2)","('있었음', 2)","('재밌었는데', 2)","('설레', 4)","('그러고', 6)","('좋아요', 6)","('작은', 4)","('예뻐서', 3)","('좋아하는', 4)","('힘든', 3)","('망한', 4)","('아닐까', 9)","('예쁘네요', 3)","('착한', 6)","('많으셨어요', 8)","('좋고', 5)","('성장한듯', 2)","('무리하지', 11)","('아닐까', 3)","('괜찮아요', 4)","('좋지', 3)","('없어서', 5)","('아닌가', 4)","('좋아', 3)","('유익해요', 5)","('궁금합니다', 4)","('행복한', 5)","('어떤', 6)","('짧아요', 4)","('하얀', 2)","('아닌가', 5)","('아니지만', 2)","('편히', 3)","('좋겠다는', 2)","('아님', 2)"
"('고마워요', 3)","('없어서', 10)","('많아서', 3)","('부럽네요', 3)","('소중히', 4)","('다행히', 2)","('힘들', 8)","('귀엽네요', 2)","('얇고', 2)","('아니아니아니야', 2)","('행복한', 4)","('없어서', 6)","('넘치는', 6)","('재밌어요', 4)","('아니냐고', 3)","('같아서', 4)","('맛있는', 3)","('많나', 4)","('작은', 9)","('재밌다', 3)","('불쌍해', 6)","('있었는데', 7)","('아니죠', 5)","('행복하게', 2)","('솔직히', 11)","('있었나', 3)","('있었다는', 4)","('아닙니다', 3)","('좋아요', 5)","('없어서', 4)","('빨개졌네요', 3)","('부탁드립니다', 5)","('안녕하세요', 4)","('아니네요', 4)","('있지만', 6)","('어렵네요', 4)","('엄청난', 2)","('재미있게', 5)","('없겠지', 2)","('불행해졌으면', 3)","('그런게', 2)","('같기도', 2)"
"('어떻고', 3)","('있네', 10)","('좋겠어요', 3)","('많아요', 3)","('아닐까', 4)","('망했', 2)","('기대할게요', 7)","('좋네요', 2)","('펑퍼짐한', 2)","('슬펐는데', 2)","('소소한', 4)","('이상한', 5)","('같음', 6)","('새로운', 4)","('좋겠', 2)","('따뜻하고', 4)","('싫어요', 3)","('망하셨나요', 4)","('좋아', 9)","('어려워', 3)","('진하', 6)","('새로운', 7)","('슬프네요', 4)","('정신차려', 2)","('재밌어요', 10)","('재미있게', 3)","('꾸준히', 4)","('중요합니다', 3)","('그럴', 5)","('솔직히', 4)","('재밌는', 2)","('싫어요', 5)","('싫어요', 4)","('귀여운', 4)","('평범하게', 6)","('없는데', 4)","('좋은', 2)","('어떤', 5)","('슬프네', 2)","('없네요', 3)","('아닐까', 2)","('재밌어서', 2)"
"('꾸준히', 3)","('많은', 10)","('착한', 3)","('미안해', 3)","('있을까', 3)","('신나는', 2)","('궁금합니다', 7)","('솔직히', 2)","('이뻐요', 2)","('슬펐던것', 2)","('재밌는', 4)","('괜찮아요', 5)","('야하는', 6)","('있지만', 3)","('기대합니다', 2)","('아프네요', 3)","('없고', 3)","('새롭네요', 4)","('힘들', 9)","('아닌가', 3)","('아니야', 6)","('아쉽', 7)","('새로운', 4)","('야할', 2)","('어떤', 10)","('같은데요', 3)","('건강하세요', 4)","('귀여운데', 3)","('많아요', 4)","('있지만', 4)","('작가말에', 2)","('좋겠어요', 5)","('건강하게', 4)","('아닌가', 4)","('고맙습니다', 6)","('솔직히', 4)","('궁금하네요', 2)","('없지', 4)","('뭉클했다는', 2)","('있었으면', 2)","('싫어', 2)","('기대하며', 2)"
"('재밌네요', 3)","('빠르네', 10)","('부럽다', 3)","('사랑스럽고', 2)","('짠해', 3)","('있을까요', 2)","('없나요', 7)","('아닐까', 2)","('필요하면', 2)","('슬픈거야', 2)","('궁금하네요', 4)","('아프지', 5)","('안되는데', 5)","('많아서', 3)","('재미있게', 2)","('고맙습니다', 3)","('있음', 3)","('그러니', 4)","('좋겠네요', 9)","('안될까', 3)","('나쁜아이', 6)","('따뜻해지는', 6)","('있어도', 4)","('이런건', 2)","('좋아해요', 9)","('아닌거', 3)","('성장한', 4)","('당연히', 3)","('야하는', 4)","('재밌어요', 4)","('괜찮으세요', 2)","('없습니다', 5)","('싫어하는', 4)","('있답니다', 4)","('없어요', 6)","('미쳤', 4)","('부탁드리겠습니다', 2)","('아닌가요', 4)","('슬퍼', 2)","('좋아하는', 2)","('아니었어요', 2)","('재미있어요', 2)"
"('덤덤하게', 3)","('있었는데', 9)","('중요하죠', 3)","('맛있어요', 2)","('좋다', 3)","('궁금했어요', 2)","('없어서', 6)","('미치기', 2)","('귀여워', 2)","('그런거', 2)","('있음', 4)","('아프게', 5)","('중요한', 5)","('엄연한', 3)","('아니야', 2)","('재미있게', 3)","('상당히', 2)","('건강하게', 4)","('없어요', 9)","('어려운', 3)","('귀한', 6)","('좋았는데', 6)","('많으신', 4)","('아니죠', 2)","('있을게요', 9)","('어떤', 3)","('슬퍼', 4)","('귀엽지만', 3)","('괜찮아', 4)","('아닌데', 4)","('미안하다고', 2)","('아닙니다', 5)","('고맙습니다', 4)","('좋아하는지', 4)","('많은', 6)","('좋겠어요', 4)","('재미있는거', 2)","('있네', 4)","('없어', 2)","('행복하네요', 2)","('안되겠어서', 2)","('기괴하네요', 2)"
"('같습니다', 3)","('귀여워요', 9)","('반가워요', 3)","('궁금하다', 2)","('예쁨', 3)","('신기했음', 2)","('미다', 6)","('짧아', 2)","('불편했겠지만', 2)","('사소한게', 2)","('있어용', 4)","('있지', 5)","('충분히', 5)","('낮은', 3)","('재밌고', 2)","('있게', 3)","('가볍게', 2)","('편히', 4)","('소중한', 9)","('아님', 3)","('행복해', 6)","('좋겠어요', 5)","('작은', 4)","('아닌가요', 2)","('재미있게', 9)","('미친', 3)","('성공한다', 4)","('귀여우시네요', 3)","('같았어요', 4)","('귀엽다', 4)","('그랬다는게', 2)","('안타까운', 5)","('미안하다', 4)","('괴로웠는데', 4)","('좋겠네요', 5)","('안녕하세요', 4)","('아니냐구요', 2)","('같음', 4)","('있더라', 2)","('행복해서', 2)","('답답합니다', 2)","('있거나', 2)"
"('같은거', 3)","('귀여운', 9)","('재밌어용', 3)","('재미없다고', 2)","('예쁜', 3)","('재밌었는데', 2)","('같아서', 6)","('좋아하게', 2)","('비슷한', 2)","('서러웠는데', 2)","('설레네요', 3)","('있음', 5)","('편하게', 5)","('멋진', 3)","('이럴줄', 2)","('재밌게', 3)","('무겁기', 2)","('재밌네요', 3)","('솔직하게', 9)","('멋져요', 3)","('있긴', 5)","('아쉽고', 5)","('예쁜', 4)","('귀여우신', 2)","('예뻐요', 9)","('변한', 2)","('있지만', 4)","('귀엽다', 3)","('있다는걸', 4)","('가능한', 4)","('슬프네', 2)","('있는게', 5)","('아프고', 4)","('편하고', 4)","('아니길', 5)","('많은', 4)","('재밌었지만', 2)","('좋으니까', 4)","('있으시다니까', 2)","('멋있어요', 2)","('무능하다니', 2)","('같음', 2)"
"('있지', 3)","('있음', 9)","('작은', 3)","('맛있단다', 2)","('아닌데', 3)","('재밌어요', 2)","('좋겠습니다', 6)","('좋아라', 2)","('있네요', 2)","('아니래', 2)","('재밌어', 3)","('그런거', 5)","('있네요', 5)","('예민한', 3)","('좋아', 2)","('대단하네요', 3)","('가까운데', 2)","('없다는', 3)","('귀여워요', 9)","('있는게', 3)","('빨간', 5)","('즐거웠어요', 5)","('좋겠습니다', 4)","('귀엽다고', 2)","('아닌가', 9)","('아닌지', 2)","('미안해', 4)","('귀엽고', 3)","('힘들', 4)","('있으니', 4)","('재미있는데', 2)","('유익하고', 4)","('싫은데', 4)","('답답하고', 4)","('없네요', 5)","('생생하게', 4)","('신나시는', 2)","('확실히', 4)","('서늘하고', 2)","('미쳐요', 2)","('있게', 2)","('없어서', 2)"
"('많고', 3)","('아닌데', 8)","('당연히', 3)","('있었는데', 2)","('아프네', 3)","('대단하다고', 2)","('많으셨고', 6)","('많겠다', 2)","('미치겠다', 2)","('귀여우면', 2)","('궁금해요', 3)","('같기도', 5)","('기쁜', 5)","('고마워요', 3)","('마라', 2)","('대단한', 3)","('없었지만', 2)","('좋습니다', 3)","('어려운', 8)","('좋아', 3)","('귀엽다', 4)","('힘든', 5)","('좋으니', 4)","('좋겠어요', 2)","('없어', 9)","('비슷한', 2)","('보배로운', 4)","('아쉬워요', 3)","('우울해도', 4)","('재밌게', 4)","('좋아하는', 2)","('그러니', 4)","('좋아하지', 4)","('여전히', 4)","('비슷한', 5)","('즐겁고', 4)","('얌전히', 2)","('재밌습니다', 4)","('묵직한', 2)","('부럽러', 2)","('나쁜', 2)","('머노', 2)"
"('있네요', 3)","('없어', 8)","('즐거운', 3)","('유쾌한', 2)","('좋습니다', 3)","('아니라고', 2)","('행복한', 6)","('그럴', 2)","('억울하죠', 2)","('아니야아아', 2)","('이럴줄', 3)","('무서운데', 5)","('많은', 5)","('야하지', 3)","('행복한', 2)","('재밌어', 3)","('행복해', 2)","('새로운', 3)","('있었는데', 8)","('재밌어용', 3)","('죄송합니다', 4)","('예쁘고', 5)","('인해', 4)","('안되겟', 2)","('있게', 8)","('재밌게', 2)","('그러고', 4)","('귀여운거', 3)","('어려워요', 4)","('재미있는', 4)","('재밌는데', 2)","('있네요', 4)","('속상한', 4)","('불편한', 4)","('있는게', 5)","('간절히', 4)","('조아진다', 2)","('재밌네요', 3)","('싫은데', 2)","('예쁜건데', 2)","('뿌염', 2)","('궁금해요', 2)"
"('없네요', 3)","('재미있어요', 8)","('귀찮은데', 3)","('없지', 2)","('없어요', 3)","('새롭네요', 2)","('없지만', 6)","('있다고', 2)","('그랬나', 2)","('슬퍼', 2)","('있을게요', 3)","('무섭다', 5)","('여전히', 5)","('솔직히', 3)","('좋겠당', 2)","('그러던', 3)","('많은', 2)","('좋고', 3)","('좋겠습니다', 8)","('귀여운', 3)","('희나랑', 4)","('맛있는', 5)","('가볍게', 4)","('짜릿해', 2)","('좋겠습니다', 8)","('귀엽다', 2)","('죄송합니다', 4)","('뻔했습니다', 2)","('없어요', 4)","('없나요', 3)","('당한거', 2)","('높은', 4)","('아파요', 3)","('행복하셨으면', 4)","('힘들고', 5)","('재밌고', 4)","('충실하구나', 2)","('귀엽네', 3)","('아닙니다', 2)","('아늑하고', 2)","('힘들어서', 2)","('미쳤는데', 2)"
