사는 게 이게 모양?!,빨간 고백,위닝샷!,집순이에 대하여,자작 보드게임 동아리,500원 토끼,솔의 일기,이래봬도2학년,대공녀는 거기에 없었다,범고래아가씨,"77년생, 열아홉",두남자일기,여기서 한잔할래?,좋아하는거 참으면 병나요!,딴 짓이 제일 재밌어,스토커의 하루,띵동! 도토리에요,마이데이,판타지 TV,만월에 핀 연꽃,전지적덕후시점,너와 나의 하늘색,너와 가까워지는 거리,어둠의 일상툰,하이스쿨 콤플렉스(마이동풍),함께 할 때까지,이세계 국밥 마스터,우당탕 입큰이,좀비랜드,내 매력에 퐁당,나타나주세요!,하루의 하늘,한 뼘 공포집,해피하우스,살인교사,템플러,직업 : 며느리,"뼈와 재, 불의 이야기",남편 먹는 여자,너와 나의 몰디브,체리 블러드,모두의 미아씨,158동 진상부부,공원여행,살인범과 산다,애포칼립스,미신반신,의대생 하루,하나리즈,식봉툰,국밥소녀
"('많죠', 1)","('잘생김', 1)","('아프지는', 1)","('엄청난', 2)","('그러냐', 2)","('없으니까', 1)","('어떤', 2)","('반갑군요', 1)","('있다는게', 2)","('비슷하게', 1)","('무섭고', 1)",,"('저렴하고', 1)","('힘들어서', 2)",,,"('빡치네', 1)","('정확한', 2)","('중요한거', 2)","('행복해', 1)","('있잖아요', 2)","('싫음', 1)","('행복해야하는데', 2)","('재밌습니다', 1)","('힘드시면', 1)",,"('뜨뜻할', 1)",,"('좋아하는데', 1)","('원하는', 1)","('귀엽냐', 2)","('재밌네요', 1)",,"('좋겠어', 1)","('잘생겼다', 1)",,"('없는거고', 2)","('재밌는데요', 1)","('섬뜩하다', 1)","('고맙', 1)","('엄청난건', 1)",,"('소중하신건', 1)",,,"('하찮지만', 1)",,"('무서운데', 1)","('매운거에는', 2)",,"('재밌게잘', 1)"
"('없나보다', 1)","('좋겠다', 1)","('입니다는', 1)","('이뻐', 2)","('아니꼽냐', 2)","('엄청난', 1)","('잘생겼군', 2)","('속상할', 1)","('아플', 2)","('그래요', 1)","('화려해요', 1)",,"('푸라면이당', 1)","('없습니다', 2)",,,"('착한', 1)","('자세히', 2)","('작네', 2)","('대단하시다', 1)","('있단다', 2)","('짜증나는데', 1)","('작가니이', 2)","('유용해요', 1)","('아쉬울거', 1)",,"('이런거', 1)",,"('무섭', 1)","('건강하세요', 1)","('드러', 2)","('있네요', 1)",,"('다정하네', 1)","('심하게', 1)",,"('답답합니다', 2)","('신났었는데', 1)","('있네', 1)","('좋아용', 1)","('불쌍함', 1)",,"('아니라는', 1)",,,"('많으시', 1)",,"('똑같군요', 1)","('환장합니다', 2)",,"('같다고', 1)"
"('있었', 1)","('그런게', 1)","('미친거냐고', 1)","('이쁘네요', 2)","('미치겠네', 2)","('이상하다', 1)","('귀엽잖아여', 2)","('좋아하는', 1)","('나쁘지', 2)","('아름답다고', 1)","('입니당', 1)",,"('이뿌게', 1)","('귀여우세요', 2)",,,"('없다', 1)","('같나', 2)","('당했는디', 2)","('힘든시기에', 1)","('그만하려구요', 2)","('좋음', 1)","('예쁘다', 2)","('아니에요', 1)","('같아서', 1)",,"('재미있긴', 1)",,"('강해', 1)","('완벽하네요', 1)","('똑같아서요', 2)","('이쁘시고', 1)",,"('재밌어서', 1)","('야해요', 1)",,"('괴로운', 2)","('좋것다', 1)","('아닌가요', 1)","('기쁘네요', 1)","('있지', 1)",,"('신기하구', 1)",,,"('건강하고', 1)",,"('싫은데', 1)","('말라구', 2)",,"('꾸준히', 1)"
"('죄송함당', 1)","('당연하죠', 1)","('있게되', 1)","('예뻐', 2)","('없다는것을', 2)","('안녕하세요', 1)","('아니구', 2)","('똑같네요', 1)","('예쁘게', 2)","('좋겠어요', 1)","('재미있는데', 1)",,"('슬픕니다', 1)","('귀여우셔요', 2)",,,"('그런다', 1)","('공정하게', 2)","('있지', 2)","('많으세요', 1)","('아니더군요', 2)","('나쁜', 1)","('예쁘고', 2)","('아님의', 1)","('섹시하잖아', 1)",,"('아님', 1)",,"('거대한', 1)","('즐겁게', 1)","('재밌당', 2)","('반갑', 1)",,"('재밌는데', 1)","('아닌거죠', 1)",,"('행복하게', 2)","('기대합니다', 1)","('아니구나', 1)","('귀여운가요', 1)","('아프지', 1)",,"('불쌍해서', 1)",,,"('그런게', 1)",,"('어색할거', 1)","('매워서', 2)",,"('충분한데', 1)"
"('귀여우시네요', 1)","('힘드시면', 1)","('많으셨어요', 1)","('신선한', 2)","('많네요', 2)","('노출할', 1)","('미쳤네요', 2)","('더워요', 1)","('이상하게', 2)","('안되요', 1)","('없지', 1)",,"('곤란한이', 1)","('귀찮아하는게', 2)",,,"('많은데', 1)","('좋겠네', 2)","('없던', 2)","('악세서리', 1)","('안되는', 2)","('경건해진다', 1)","('멋지고', 2)","('추한', 1)","('원하긴', 1)",,"('불행하면서도', 1)",,"('있죠', 1)","('재미있당', 1)","('있었다', 2)","('계시는', 1)",,"('무서운데', 1)","('안될까', 1)",,"('좋은데', 2)","('성공해서', 1)","('다정한', 1)","('멋있어', 1)","('특이하게', 1)",,"('없었는데', 1)",,,"('길다', 1)",,"('같에', 1)","('사랑스러운', 2)",,"('어이없는게', 1)"
"('괜찮으신', 1)","('삐짐', 1)","('당연한', 1)","('평범한', 2)","('진정한', 2)","('부탁드립니다', 1)","('훈훈하네요', 2)","('있게', 1)","('계셨다', 2)","('건강하시고', 1)","('아쉬워요', 1)",,"('좋겠군요', 1)","('없으신', 2)",,,"('많음', 1)","('없게', 2)","('하찮게', 2)","('건전해', 1)","('불안해하고', 2)","('어떡해', 1)","('조용히하세요', 2)","('아니져', 1)","('같아여', 1)",,"('잘생긴', 1)",,"('분명한', 1)","('귀엽지', 1)","('예쁜', 2)","('좋아용', 1)",,"('무섭다', 1)","('슬퍼요', 1)",,"('많지요', 2)","('건강히', 1)","('의심스러워서', 1)","('예뻐진거', 1)","('있는건', 1)",,"('불길하네요', 1)",,,"('건강하시면', 1)",,"('많아', 1)","('행복하세요', 2)",,"('이쁩니다', 1)"
"('고맙지만', 1)","('야해요', 1)","('야했어', 1)","('있었는데', 2)","('아니어도', 2)","('있내요', 1)","('귀여운데여', 2)","('있었는데', 1)","('이상하네', 2)","('가능하지', 1)","('시급합니', 1)",,"('없다', 1)","('철저하신데', 2)",,,"('아니었으면', 1)","('있냐고', 2)","('착해', 2)","('없어', 1)","('없어도', 2)","('어떻하냐', 1)","('좋다구요', 2)","('아니었어', 1)","('상관없지만', 1)",,"('있죠', 1)",,"('있다는', 1)","('있었어서', 1)","('짜릿해', 2)","('선명해졌네요', 1)",,"('야해서', 1)","('괜찮', 1)",,"('아파하고', 2)","('없을거', 1)","('많고', 1)","('풋풋하게', 1)","('맛있겠다', 1)",,"('아니죠', 1)",,,"('수많은', 1)",,"('싫다고', 1)","('있음', 2)",,"('시라구요', 1)"
"('슬픈', 1)","('불쌍한', 1)","('이쁘긴', 1)","('익숙한', 2)","('대단하십니다', 2)","('괜찮아요', 1)","('설레이네', 2)","('좋다면서', 1)","('착해', 2)","('부러운', 1)","('없으니', 1)",,"('없음', 1)","('재미있을것', 2)",,,"('나쁜거', 1)","('계실', 2)","('재미있어요', 2)","('있었다구요', 1)","('많은데', 2)","('설렌당', 1)","('영원히', 2)","('확실한', 1)","('그래두', 1)",,"('무겁고', 1)",,"('싫으시다는', 1)","('싫어', 1)","('그런것', 2)","('이쁘지만', 1)",,"('재밌습니다', 1)","('있지만', 1)",,"('그래도', 2)","('같아용', 1)","('있을것', 1)","('그런지', 1)","('미친', 1)",,"('좋겠다', 1)",,,"('있을텐데', 1)",,"('있나', 1)","('많은', 2)",,"('재미있는것', 1)"
"('귀엽고', 1)","('없었습니다', 1)","('어색했던', 1)","('무서운데', 2)","('그러면서', 2)","('귀여울수가', 1)","('있다이', 2)","('좋아', 1)","('좋겠어', 2)","('좋아했네', 1)","('재밌고', 1)",,"('싫어함', 1)","('귀여우셔', 2)",,,"('재밌으려고', 1)","('필요없다', 2)","('재밌음', 2)","('바쁘셔서', 1)","('중요한', 2)","('싫었다가', 1)","('따스함', 2)","('있네요', 1)","('좋을', 1)",,"('궁금합니다', 1)",,"('있음', 1)","('슬프다', 1)","('없다', 2)","('똑같죠', 1)",,"('좋네요', 1)","('많어', 1)",,"('궁금해요', 2)","('부족한', 1)","('같어', 1)","('좋구만', 1)","('변했구나', 1)",,"('아쉽다', 1)",,,"('꼬였다', 1)",,"('허전해', 1)","('아파지게', 2)",,"('아니냐고', 1)"
"('착하셔', 1)","('재밌으니까', 1)","('이쁠듯', 1)","('나쁘진', 2)","('좋네요', 2)","('저랬으면', 1)","('없는줄', 2)","('귀여워용', 1)","('있게', 2)","('강력한', 1)","('있었으면', 1)",,"('아쉬워', 1)","('재미있어요', 2)",,,"('조용히', 1)","('재수없어', 2)","('쎄다는걸', 2)","('좋겠습니다', 1)","('괜찮지만', 2)","('좋졌다', 1)","('미다', 2)","('있는걸', 1)","('좋을거', 1)",,"('맛있겠다', 1)",,"('강할꺼야', 1)","('급하게', 1)","('그런건', 2)","('귀찮나', 1)",,"('왠만한', 1)","('아프지', 1)",,"('특별한', 2)","('없는것', 1)","('있었던', 1)","('이쁘다', 1)","('변한', 1)",,"('재밌었는데', 1)",,,"('순진하기는', 1)",,"('무섭다', 1)","('신기하네요', 1)",,"('아닌가요', 1)"
"('성장하길', 1)","('느리네', 1)","('미쳤다리', 1)","('좋아용', 2)","('어두워', 2)","('편히', 1)","('재밌네요', 2)","('야할듯', 1)","('불쌍해', 2)","('시원합니다', 1)","('무서우니까', 1)",,"('나쁘신', 1)","('좋다고', 1)",,,"('싫테하는', 1)","('미치게', 2)","('아닌데요', 2)","('고마워요', 1)","('없는것', 2)","('비슷하네', 1)","('사랑스럽고요', 2)","('무서워하시는', 1)","('싫어요', 1)",,"('재미있는거', 1)",,"('수상하다', 1)","('있었습니다', 1)","('아니겠죠', 2)","('재밌다', 1)",,"('짠하진', 1)","('건강하세요', 1)",,"('좋다', 2)","('재밌는건', 1)","('행복한', 1)","('재밌음', 1)","('같기도', 1)",,"('독특한', 1)",,,"('먼나라', 1)",,"('불편하게', 1)","('재밌어요', 1)",,"('멋져', 1)"
"('훌륭하지만', 1)","('잘생겼다니', 1)","('있었나', 1)","('좋으면', 2)","('없나', 2)","('많히', 1)","('스럽고', 2)","('하찮음', 1)","('어떡함', 2)","('안되', 1)","('무섭네요', 1)",,"('좋네', 1)","('미쳐', 1)",,,"('아님', 1)","('스러운', 2)","('아닙니다', 2)","('기대하께요', 1)","('그만했으면', 2)","('아름다웠던', 1)","('가득하시길', 2)","('무서워하셨겠지만', 1)","('없음', 1)",,"('죄송해요', 1)",,"('괴상하게', 1)","('건강하셔요', 1)","('똑같다', 2)","('무리하시지', 1)",,"('이쁜줄', 1)","('착하시네요', 1)",,"('좋지', 2)","('비슷한', 1)","('아니였냐', 1)","('있지만', 1)","('멋지고', 1)",,"('있으면서', 1)",,,"('심각한', 1)",,"('불리한것', 1)","('있네', 1)",,"('솔직하게', 1)"
"('멋지게', 1)","('많은', 1)","('재밌게', 1)","('짜증나죠', 2)","('똑같다는걸', 2)","('행복하시고', 1)","('즐겁고', 1)","('이뿌게', 1)","('재밌던', 2)","('안되나요', 1)","('길면', 1)",,"('있더라고요', 1)","('괜찮은데', 1)",,,"('안녕하', 1)","('싫어요', 2)","('있었', 2)","('예쁘네요', 1)","('아니어서', 2)","('쉬운', 1)","('익숙하네', 2)","('아니었구나', 1)","('잘생긴', 1)",,"('어때', 1)",,"('좋은', 1)","('한심하다', 1)","('비슷하다', 2)","('미쳤다리', 1)",,,"('심각해서', 1)",,"('이럴', 2)","('값진', 1)","('괜찮네', 1)","('재밌네', 1)","('잘생기게', 1)",,"('좋겟다', 1)",,,"('선한', 1)",,"('무서', 1)","('좋고', 1)",,"('이쁘다', 1)"
"('성장하시길', 1)","('잠잠하네', 1)","('빠른', 1)","('필요없고', 2)","('아니었구나', 2)","('짧다', 1)","('행복합니다', 1)","('있음', 1)","('재밌군요', 2)","('좋아요', 1)","('깔끔해서', 1)",,"('있을까', 1)","('재밌더라', 1)",,,"('고소합니다', 1)","('그럴수있다만', 2)","('안되', 2)","('순진한', 1)","('없을', 2)","('궁금해용', 1)","('단정하고', 2)","('선한', 1)","('똑같지만', 1)",,"('빨라', 1)",,"('강함', 1)","('재밌어용', 1)","('예쁜거', 2)","('아니지', 1)",,,"('없었어요', 1)",,"('사이좋게', 2)","('흔하지', 1)","('싸한', 1)","('재밌', 1)","('예쁘시게', 1)",,"('재밌거든', 1)",,,"('충분히', 1)",,"('멋져요', 1)","('좋아요', 1)",,"('멋있는', 1)"
"('고맙습니다', 1)","('이쁘면', 1)","('원하는', 1)","('좋아', 2)","('있었던', 2)","('있으시길', 1)","('없던데', 1)","('입니당', 1)","('재미있는', 2)","('나쁘지', 1)","('같은데요', 1)",,"('궁금한건대', 1)","('있냐', 1)",,,"('자세한건', 1)","('무지한것도', 2)","('같나', 1)","('같기도', 1)","('있죠', 2)","('아니져', 1)","('좋아여', 2)","('없다', 1)","('무리하시는거', 1)",,"('계신거죠', 1)",,"('괜찮지', 1)","('예뻤어요', 1)","('이뻐요', 2)","('이상한거', 1)",,,"('무리하지말고', 1)",,"('다르나요', 2)","('재밌어용', 1)","('미쳤', 1)","('설렌다', 1)","('추해야겠네요', 1)",,"('많음', 1)",,,"('솔직히', 1)",,"('젊어지는', 1)","('그런거', 1)",,"('배고프다', 1)"
"('없지', 1)","('어떡하라는', 1)","('좋으실까', 1)","('작으면', 2)","('아찔하네', 2)","('많으시면', 1)","('힘듬이', 1)","('부러워요', 1)","('싫어할', 2)","('필요했던', 1)","('대단해요', 1)",,"('작으', 1)","('안됬고', 1)",,,"('아플', 1)","('정신차리자', 2)","('많으면', 1)","('없을텐데', 1)","('다른데', 2)","('쏠쏠하다요', 1)","('좋아할게', 1)","('신나게', 1)","('없습니다', 1)",,"('궁금해요', 1)",,"('무섭네요', 1)","('반한거군요', 1)","('짜증나', 2)","('아니자', 1)",,,"('기대하겠', 1)",,"('불쌍하다고', 2)","('괜찮네요', 1)","('놀래라', 1)","('재밌어져서', 1)","('어지럽다며', 1)",,"('같으면', 1)",,,"('없네요', 1)",,"('살벌하', 1)","('비슷한거', 1)",,"('귀엽다', 1)"
"('높은', 1)","('이뻐질', 1)","('있나싶었다니까', 1)","('힘들다구', 2)","('미쳤냐고', 2)","('행복하세요', 1)","('충분히', 1)","('즐겁게', 1)","('길면', 2)","('낮은게', 1)","('번했으면', 1)",,"('좋을것', 1)","('안남았고', 1)",,,"('있으', 1)","('궁금해여', 2)","('재밌당', 1)","('대단하세요', 1)","('좋아하겠어요', 2)","('잘생겨져서', 1)","('아니다', 1)","('재밌었음', 1)","('재밌어용', 1)",,"('아닌데말야', 1)",,"('강해진다', 1)","('반한거야', 1)","('따끈따끈하네요', 1)","('그런거', 1)",,,"('있길래', 1)",,"('잘맞을거야', 2)","('좋구요', 1)","('참신한데요', 1)","('재미있으니', 1)","('헷갈리지', 1)",,"('없음', 1)",,,"('같구요', 1)",,"('좋아하는줄', 1)","('좋으면', 1)",,"('훈훈하구먼', 1)"
"('좋지만', 1)","('잘생겼', 1)","('야한다니', 1)","('변함을', 2)","('순순히', 2)","('건강한', 1)","('설레고', 1)","('대단하네요', 1)","('재밌어서', 2)","('단순하게', 1)","('좋겠다', 1)",,"('같아용', 1)","('좋아할', 1)",,,"('없다면', 1)","('안될까', 2)","('느려', 1)","('힘드실텐데', 1)","('잘생기지도', 2)","('같은거', 1)","('같다고', 1)","('뻔했네요', 1)","('조아요', 1)",,"('싫다', 1)",,"('없다', 1)","('그런지', 1)","('있었던', 1)","('있죠', 1)",,,"('좋아서', 1)",,"('있을거', 2)","('재밌', 1)","('있을듯', 1)","('반가운듯', 1)","('다르게', 1)",,"('좋게', 1)",,,"('없길', 1)",,"('크나큰', 1)","('귀엽지만', 1)",,"('흐뭇', 1)"
"('많을수록', 1)","('비슷한', 1)","('안좋다', 1)","('귀엽구', 2)","('무례한', 2)","('행복하게', 1)","('행복하고', 1)","('아쉽네요', 1)","('엄청난', 2)","('빡친', 1)","('위험한', 1)",,"('건강히', 1)","('좋아하세요', 1)",,,"('어여쁜', 1)","('있는데에', 2)","('나빠', 1)","('힘드시겠어요', 1)","('좋아하냐', 2)","('잘생겼다고', 1)","('설렜어', 1)","('맛있진', 1)","('완벽한', 1)",,"('그런거', 1)",,"('추한', 1)","('부탁드려요', 1)","('퍼러러', 1)","('예쁘니', 1)",,,"('드러', 1)",,"('깊숙히', 2)","('있을지', 1)","('재미있네요', 1)","('없네', 1)","('있어용', 1)",,"('없지', 1)",,,"('순진한', 1)",,"('낮다', 1)","('좋아해주세오', 1)",,"('배고파졌', 1)"
"('많아', 1)","('아니겟지만', 1)","('궁금한건', 1)","('안좋은', 2)","('아까', 2)","('좋게', 1)","('슬프고', 1)","('순수하네', 1)","('그런거', 2)","('궁금하다', 1)","('가혹한', 1)",,"('행복하기만', 1)","('확고해서', 1)",,,"('있으니까', 1)","('아니잖아', 2)","('변한다', 1)","('안됩니당', 1)","('그러는거', 2)","('궁금하다', 1)","('귀엽거든', 1)","('같은데여', 1)","('좋아서요', 1)",,"('든든하네', 1)",,"('귀한', 1)","('어색해요', 1)","('멋짐', 1)","('성공했다', 1)",,,"('실패하실거죠', 1)",,"('다르기', 2)","('같아지는', 1)","('이쁜', 1)","('꼬이고', 1)","('예쁘네', 1)",,"('재밌어서', 1)",,,"('당연히', 1)",,"('귀찮은가요', 1)","('같은건', 1)",,"('그러치', 1)"
"('있죠', 1)","('고마워', 1)","('재미있는거는', 1)","('좋습니다', 2)","('있다는거죠', 2)","('같아서', 1)","('행복해서', 1)","('완벽한', 1)","('행복해', 2)","('없습니다', 1)","('좋겠기', 1)",,"('그렇구나', 1)","('많던데', 1)",,,"('당당하네', 1)","('조져주세요', 2)","('아무런', 1)","('있는듯', 1)","('많아요', 2)","('좋아하지', 1)","('같어', 1)","('무서웠겠다', 1)","('좋잖아요', 1)",,"('멋져', 1)",,"('없아', 1)","('재밌네', 1)","('멋져', 1)","('기대해도', 1)",,,"('짧으시겠지만', 1)",,"('신나게', 2)","('그러지마', 1)",,"('없나보다', 1)","('재밌네요', 1)",,"('야할것', 1)",,,"('예쁘고', 1)",,"('변할까', 1)","('어렵죠', 1)",,"('있나', 1)"
"('많으니', 1)","('잘생겨지나요', 1)","('많습니다', 1)","('있는거였군요', 1)","('좋다', 2)","('헷갈려', 1)","('망할', 1)","('있겠지만', 1)","('슬프다', 2)","('아니였음', 1)","('부럽요', 1)",,"('딱이겠어요', 1)","('심각한', 1)",,,"('적당히', 1)","('미쳤나', 2)","('잔혹해', 1)","('그렇다', 1)","('당연히', 2)","('전화했을', 1)","('두근거리면서도', 1)","('없으면', 1)","('편하신대로', 1)",,"('강함', 1)",,"('있다는게', 1)","('아닌듯', 1)","('장하다', 1)","('그렇죠', 1)",,,"('불가하고', 1)",,"('아닐', 2)","('좋네', 1)",,"('수줍고', 1)","('완벽한데', 1)",,"('다른거', 1)",,,"('건강하세요', 1)",,"('재밌당', 1)","('젊은', 1)",,"('같음', 1)"
"('많구나라고', 1)","('진지하게', 1)","('재밌을듯', 1)","('더라고요', 1)","('예뻐지', 2)","('비싼', 1)","('아니라고', 1)","('궁금할만도', 1)","('있었을까요', 2)","('아니였을까', 1)","('아닌가요', 1)",,"('좋았을듯', 1)","('먼나라', 1)",,,"('있네', 1)","('미쳤다', 2)","('이로운', 1)","('아닌거', 1)","('없지만', 2)","('낮인거죠', 1)","('슬프고', 1)","('있었겠는데', 1)","('좋겠어요', 1)",,"('새로워', 1)",,"('안타까울', 1)","('재미있어요', 1)","('궁금했어요', 1)","('있을거예요', 1)",,,"('높은', 1)",,"('어떤지', 2)","('많다', 1)",,"('조심스러운거였네요', 1)","('어지러운게', 1)",,"('있었다', 1)",,,"('안된다', 1)",,"('무서운거', 1)","('작은데', 1)",,"('귀엽네', 1)"
"('아닙니다', 1)","('행복하게', 1)","('가능할', 1)","('귀여우시다', 1)","('부럽다', 2)","('없어요', 1)","('짧으면', 1)","('환하게', 1)","('같기도', 2)","('아닌가용', 1)","('좋아하고', 1)",,"('좋을', 1)","('같은데요', 1)",,,"('있는거', 1)","('착하냐', 2)","('해롭다는게', 1)","('그럴수가', 1)","('좋아하는거', 2)","('재미있고요', 1)","('이쁘니깐', 1)","('싫다는데', 1)","('중요하지', 1)",,"('역겹다', 1)",,"('왠만한', 1)","('기뻐요', 1)","('가능합니다', 1)","('기대할', 1)",,,"('만족하고', 1)",,"('있으니깐', 2)","('많아', 1)",,"('재밌어', 1)","('아니잖아요', 1)",,"('기발하고', 1)",,,"('많으니', 1)",,"('아닌가요', 1)","('있으셔서', 1)",,"('젊어', 1)"
"('마땅한', 1)","('있었습니다', 1)","('같았는데', 1)","('재밌어서', 1)","('있는거잖어', 2)","('미쳤어', 1)","('어떱니까', 1)","('순수해', 1)","('예뻤다', 2)","('아닌가요', 1)","('궁금하다', 1)",,"('같구', 1)","('신기한', 1)",,,"('심각해', 1)","('미친', 2)","('슬픈', 1)","('안되죠', 1)","('있음', 2)","('좋아해', 1)","('다정함에', 1)","('싫다고', 1)","('미침', 1)",,"('그러습니다', 1)",,"('안녕히계세요', 1)","('여전히', 1)","('안남았당', 1)","('아닌거야', 1)",,,"('무리하시진', 1)",,"('좋게', 2)","('있으니까', 1)",,"('싫다', 1)","('아니에요', 1)",,,,,"('심하네요', 1)",,"('빠르시다', 1)","('많단', 1)",,"('많구나', 1)"
"('성장하시지', 1)","('있구나', 1)","('없다아니네', 1)","('야할지', 1)","('간단하게', 2)","('재밌는', 1)","('괜찮습니다', 1)","('소소한', 1)","('비참하네', 2)","('있는것', 1)","('불길해', 1)",,"('맛있겠어요', 1)","('더럽다', 1)",,,"('귀엽잖아', 1)","('드럽게', 2)","('성숙하고', 1)","('궁금한', 1)","('힘들어', 2)","('있구요', 1)","('어떻혀', 1)","('어색하다고', 1)","('괜찮긴', 1)",,"('미치겠음', 1)",,"('평화롭게', 1)","('재밌고', 1)","('망했던', 1)","('비열해', 1)",,,"('그러', 1)",,"('무책임하게', 2)","('미칠것', 1)",,"('똑똑하겠지만', 1)","('좋아', 1)",,,,,"('없으시길', 1)",,"('망하라는', 1)","('싫어지고', 1)",,"('재수없네', 1)"
"('부탁드립니다', 1)","('재밌다면', 1)","('없을것', 1)","('신기하네요', 1)","('괜찮을까요', 2)","('작가였습니다', 1)","('좋겠단', 1)","('행복하', 1)","('무거운', 2)","('아닌가', 1)","('이쁜것', 1)",,"('좋을듯', 1)","('해롭다', 1)",,,"('같은거', 1)","('부끄럽지도', 2)","('강해질', 1)","('있다구요', 1)","('그러지', 2)","('재밌습니다', 1)","('좋아아', 1)","('독한대', 1)","('이런거', 1)",,,,"('재밌다는', 1)","('귀엽고', 1)","('안되긴', 1)","('같기도', 1)",,,"('즐거운', 1)",,"('없는지부터', 2)","('붉은거', 1)",,"('재수없을', 1)","('좋습니다', 1)",,,,,"('작은', 1)",,"('그렇습니다', 1)","('그랬어요', 1)",,"('자세한', 1)"
"('좋음', 1)","('어떡할', 1)","('있었습니다', 1)","('그렇고말고', 1)","('조용히보다', 2)","('괜찮', 1)","('서운하다', 1)","('고파', 1)","('다양한', 2)","('당하는데', 1)","('이상한데', 1)",,"('좋아하신다면', 1)","('건강해지더라고요', 1)",,,"('아녔나', 1)","('추하다', 2)","('안되는게', 1)","('흔한', 1)","('죄송해요', 2)","('인한', 1)","('부럽냐', 1)","('신기한', 1)","('심해서여', 1)",,,,"('있으니까', 1)","('사랑스럽군요', 1)","('계셨네요', 1)","('있어야지', 1)",,,"('기대할게', 1)",,"('죄송하다고하면', 2)","('없네', 1)",,"('있으', 1)","('재밌어요', 1)",,,,,"('괜찮나요', 1)",,"('있겠다', 1)","('배부르면', 1)",,"('심히', 1)"
"('당연히', 1)","('찡하면서', 1)","('안되었는데', 1)","('아픈가요', 1)","('무섭지', 2)","('안되겠어', 1)","('미안하단', 1)","('똑같은', 1)","('재미있게', 2)","('무서워', 1)","('시급함다', 1)",,"('괜찮을', 1)","('어련히', 1)",,,"('궁금해서', 1)","('추해', 2)","('무서워하고', 1)","('아닐지요', 1)","('아니꼽게', 2)","('짧은', 1)","('부럽냐고', 1)","('맛있겠', 1)","('좋지만', 1)",,,,"('시급하다', 1)","('재밌지만', 1)","('없는데', 1)","('기대할께요', 1)",,,"('길게', 1)",,"('고맙다고', 2)","('착하다', 1)",,"('궁금하', 1)","('있다면', 1)",,,,,"('괜찮아서', 1)",,"('없어요', 1)","('싫어', 1)",,"('괜찮아', 1)"
"('이렇다', 1)","('잘생겼냐', 1)","('기대하겠', 1)","('다른데', 1)","('예쁘다', 2)","('아니였나', 1)","('없음', 1)","('순수하지', 1)","('심심해서', 2)","('위험하다면서', 1)","('궁금하당', 1)",,"('유일하게', 1)","('그런게', 1)",,,"('다소곳하게', 1)","('짜증나는', 2)","('그러든', 1)","('같다만', 1)","('예쁜', 2)","('없냐구요', 1)","('있었다', 1)","('맛있게', 1)","('같은데여', 1)",,,,"('잘생김', 1)","('짧은것', 1)","('기쁘시다는', 1)","('재미있어요', 1)",,,"('굴데', 1)",,"('당연한거고', 2)","('짠하네', 1)",,"('기대할께요', 1)","('있겠군', 1)",,,,,"('없기를', 1)",,"('그러지', 1)","('행복하시길', 1)",,"('없어', 1)"
"('없는데', 1)","('죄송해', 1)","('넘치는', 1)","('아프다는', 1)","('복잡한', 2)","('아니도', 1)","('아프네', 1)","('필요하지만', 1)","('있던거니', 2)","('예쁜', 1)","('불쌍하당', 1)",,"('궁금합니다', 1)","('아니였구나', 1)",,,"('있나', 1)","('아니지', 2)","('상실한', 1)","('같지만', 1)","('이상한거라고', 2)","('잘생겼네', 1)","('미치겠다', 1)","('저렇게도', 1)","('재밌을', 1)",,,,"('있구나', 1)","('미친다', 1)","('재밌겠다', 1)","('있겠', 1)",,,"('행복할', 1)",,"('아니지', 2)","('궁금하다', 1)",,"('있나', 1)","('이쁘다', 1)",,,,,"('적당히', 1)",,"('좋네', 1)","('좋겟다', 1)",,"('아님', 1)"
"('성공한', 1)","('많하', 1)","('없던게', 1)","('아팠다는', 1)","('가능한', 2)","('싫테있어요', 1)","('슬픈데', 1)","('좋아야', 1)","('슬프네', 2)","('즐겁습니다', 1)","('심하긴', 1)",,"('좋져', 1)","('반가워여', 1)",,,"('부럽다', 1)","('재밌어', 1)","('많았네요', 1)","('있던데', 1)","('왠만하면', 2)","('재밌네요', 1)","('같이하', 1)","('아쉽군', 1)","('같은데요', 1)",,,,"('환생했다', 1)","('미쳐', 1)","('당하셨나', 1)",,,,"('없다', 1)",,"('안되면', 2)","('당하는건', 1)",,"('새롭', 1)","('미안하지는', 1)",,,,,"('촉촉하게', 1)",,"('구리다는', 1)","('그럴', 1)",,"('부탁드립니다', 1)"
"('있었다지만', 1)","('같겠지', 1)","('아쉬웠는데', 1)","('야할', 1)","('있다면', 2)","('다행히', 1)","('좋았어요', 1)","('있는거라는데', 1)","('다르게', 2)","('빨간', 1)","('좋아여', 1)",,"('있으실', 1)","('적당한', 1)",,,"('굉장히', 1)","('어떡해', 1)","('슬프네요', 1)","('그렇', 1)","('길어', 2)","('좋겠', 1)","('다정다감하게', 1)","('진한', 1)","('재밌음', 1)",,,,"('있었는대', 1)","('재미없으면', 1)","('아니였어', 1)",,,,"('싫네', 1)",,"('같구만', 2)","('착하네', 1)",,"('있오요', 1)","('아팠는데', 1)",,,,,"('바쁘다고', 1)",,"('강해지고', 1)","('그럴게', 1)",,"('귀여워', 1)"
